left_word,target_word,right_word,context
又,難得,的,小孩 手 上 拿 著 冰淇淋 大夥兒 都 盡情 地 從事 各 種 戶外 活動 恣意 享受 短暫 又 難得 的 夏日 風情 赫爾辛基 夏日 炎炎 教堂 建築 頗 具 巧思 不 似 印象 中 那般 寒冷 在
時,難得,碰到,時 開滿 遍野 的 洋水仙 市民 常 到 此 做 休閒 活動 當 我們 在 公園 裡 閒步 時 難得 碰到 東方 面孔 好 巧 不巧 就 是 大同 工學院 的 老師 到 此 進修 他 說 如果
次,難得,的,頭 進 欄 九 頭 臨陣脫逃 參與 趕 鹿 的 民眾 都 興高采烈 紛紛 表示 這 是 一 次 難得 的 經驗 墾丁 國家 公園 管理處 為 確實 了解 放養 的 梅花鹿 族群 及 繁育 情形 邀集 七十多
位,難得,的,添購 新 書 等 還 協助 學校 擔任 出納 工作 及 各 大小 會議 的 紀錄 是 一 位 難得 的 好 幹事 本 校 與 鄰近 的 東光 國中 是 兄弟 學校 互相 支援 互通 消息 相當
天,難得,的,單位 以身作則 強制 實施 或 改裝 省 水 設施 春節 假期 即將 結束 你 是否 把握住 這 幾 天 難得 的 假日 安排 充實 的 休閒 活動 呢 行政院 研究 發展 考核 委員會 調查 指出 國人 參與 的
個,難得,的,甄試 面試 當天 由 始 至 終 都 在 試場 外 陪 考生 很多 家長 也 把握 這 個 難得 的 機會 和 校長 面談 向 校長 請教 教育 方面 的 問題 校長 翔實 的 解說 讓 家長
塊,難得,的,要求 臺灣省 水利局 停止 施工 將 原本 規畫 的 太平溪 沿岸 堤防 工程 變更 設計 以 保留 這 塊 難得 的 生態 濕地 並 作為 太平溪 河口 自然 公園 環保 團體 表示 臺東縣 太平溪 出海口 附近 是 少有
等,難得,一,高峰 在 關渡 的 候鳥 特別 多 除了 正 在 臺灣 過境 的 小杓鷸 濱鷸 及 黃 鶺鴒 等 難得 一 見 的 花澤鵟 灰瓣足鷸 也 趕來 湊熱鬧 臺北市 天母 國小 愛心 媽媽 明天 將 前往 臺北市 民族
是,難得,的,的 歡樂 戰勝 危險 後 對 生命 的 自豪 對 天 對 地 對 人 的 無限 思索 是 難得 的 崇高 享受 這 也 更 激發 了 我 對 冒險 的 熱情 正 是 在 這 漫長
人才,畢竟,這裡,的 協議 也 令 這些 莘莘學子 小心翼翼 無怪 他們 能 培育 一 代 又 一 代 的 傑出 人才 畢竟 這裡 拿 學位 是 一 寸 光陰 一 寸 金 野雞 大學 是 門兒 都 沒有 走到 新
