left_word,target_word,right_word,context
是,難得,的,的 情緒 秋天 的 太陽 是 豐收 的 太陽 它 帶給 人們 豐收 的 快樂 冬天 的 太陽 是 難得 的 太陽 它 帶給 人們 暖和 的 心情 湖 很 喜歡 拜師 他 一下 拜 雨 為 師
很,難得,的,個 例子 並 不 是 在 說明 住宅 重要 或是 攤販 重要 而是 台開 正 面臨 一 個 很 難得 的 機會 可 透過 台中市 市民 或 其它 商業區 的 期望 來 做 角色 的 界定 此時 此刻
卻,難得,有,年 去 一 次 孩子 在 香港 可以 受到 很 好 的 照顧 但是 非洲 的 那些 孩子 卻 難得 有 人 去 關懷 他們 與 超級 模特兒 談情說愛 模特兒 一 個 絕對 美麗 的 行業 除了 讓
十分,難得,的,看 聽 探索 石川 女士 送來 的 資料 中 有 一 段 介紹 優良星 人 的 生活 是 十分 難得 的 資料 我 將 之 轉載 於 下 存在 於 三 度 空間 的 行星 或 衛星 等
本,難得,的,分析 一九八六年 他們 將 研究 成果 寫成 論文集 生命 間 的 生命 LIFE BETWEEN LIFE 這 是 一 本 難得 的 好 論文 使 我 明確 的 了解到 人 活 在 世上 的 目的 改變 了 對 生命
是,難得,的,感到 很 驚訝 立刻 以 電話 詢問 十菱 先生 可否 將 內容 告訴 別人 十菱 的 譯文 精確 是 難得 的 資訊 傳達 者 而 我 的 責任 是 將 部分 文章 介紹給 讀者 譯稿 內容 大致 如下
更,難得,有,就 是 音樂 畫布 上 顯現 的 光影 也 未必 是 繪畫 而 白紙 上 印出 的 黑字 更 難得 有 幾 篇 稱得上 是 文學 是 我 自己 背叛 了 自己 的 信念 轉行 從商 商場 失利
以來,難得,的,著 最後 走累 了 不知不覺 地 坐 在 一 處 看臺 上 睡 了 一 個 很 久 以來 難得 的 無 夢 的 好 覺 不 知 過 了 多 久 只 感覺 身 上 略 有
平日,難得,一,自在 對 我 而 言 這 卻 是 莫大 的 威脅 不論 走到 哪裡 眼前 永遠 是 一些 平日 難得 一 見 各形各色 豐美 的 肉體 我 愈 是 不 想 去 看 愈 是 看 得 分明
人,難得,有,森巴 舞蹈 學校 各 耗 巨資 別出心裁 參加 化裝 遊行 比賽 除了 在 俱樂部 內 街 上 的 人 難得 有 跳舞 的 機會 在 沙市 則 以 大眾 同 樂 為主 不大 注重 列隊 的 化裝 遊行
番,難得,有,我 還 有點 不 好意思 轉念 一 想 既然 大家 都 狂歡 作樂 我 何不 趁機 享受 一 番 難得 有 美人 在 側 管 他 這 許多 乍 著 膽子 我 伸 過 手 去 摟 她
番,難得,有,我 還 有點 不 好意思 轉念 一 想 既然 大家 都 狂歡 作樂 我 何不 趁機 享受 一 番 難得 有 美人 在 側 管 他 這 許多 乍 著 膽子 我 伸 過 手 去 摟 她
語,難得,表示,椅子 吧 尼奧 和 秀子 老是 微笑 著 除了 欣賞 菜肴 之外 不大 開口 凱洛琳 也 默默 不 語 難得 表示 意見 只 有 東尼 和 我 滔滔不絕 上菜 後 東尼 忙著 吃 我 藉著 這 個 空擋
