left_word,target_word,right_word,context
出現,難得,一,股性 牛皮 的 大同 及 向 為 票房 毒藥 的 中紡 拜 上億 美元 大 訂單 之 賜 出現 難得 一 見 的 大好 行情 前者 因 延遲 發布 重大 消息 遭 證管會 以 涉及 內線 交易 為
出現,難得,一,將 十億 美元 的 預算 與 中紡 已 接到 訂單 劃上 等號 造成 近日 該 股 成交量 驟增 出現 難得 一 見 交投 熱絡 的 景象 此外 該 公司 對 蘇聯 採購團 來 華 的 新聞 採取 低調
波,難得,的,將 借助 其 力 仍 有 高點 可期 另 一 派 則 顯得 作風 剽悍 有意 藉 這 波 難得 的 翻本 行情 不 惟 卸除 高檔 套牢 之 苦 並 欲 獲取 可觀 利潤 如 華隆 集團
力守,畢竟,中多,將 測試 上 波 低點 支持 即使 跌破 底 的 頸線 位置點 與 日線點 雙重 堡壘 應 可 力守 畢竟 中多 格局 仍 未 破壞 原則 上 只要 油價 不 漲 過 每 桶 元 破底 的 可能性
回升,畢竟,國內,呈現 外銷 情況 好轉 的 跡象 但 江丙坤 表示 沒有 辦法 以 此 數字 做為 判斷 景氣 已 回升 畢竟 國內 經濟 陷入 不景氣 有 其 長 短 期 因素 不 是 一下子 就 可以 改善 的 目前
額度,畢竟,有限,分配 辦法 而 元大 鼎盛 雖 獨立 辦理 信用 交易 但 這 兩 家 公司 的 融資 買進 額度 畢竟 有限 反而 復華 面對 三百多 家 券商 買進 數量 不易 控制 為 了 避免 上 回 保固 情事
市場,畢竟,是,東山再起 的 條件 至於 目前 一些 新 主力 的 竄起 不妨 可 視為 去年 新興 主力群 的 翻版 市場 畢竟 是 殘酷 的 能 經歷 沖激 之後 還 能 在 市場 中 活躍 的 並 不 多 下
整理,難免,盤中,支持 十日線 點 及 上升 趨勢線 日 RSI 並 向 下 突破 日 RSI 短期 線型 轉壞 後市 整理 難免 盤中 以 電子 塑膠 及 化工 類股 表現 較 弱 反映 第三 季 財務 報表 揭露 營運 衰退
時期,難免,出現,串連 的 情形 顯示 投資人 的 信心 已 較 往昔 強勁 金融股 漲 多 回檔 期間 產業股 接手 時期 難免 出現 大幅 震盪 今日 仍 以 持續 盤整 的 成份 較 高 泰豐 該 股 昨日 開高走低 股價
關卡,總是,出現,等 反轉 訊號 投資人 刻意 看空 實無 必要 近期 盤勢 在 面臨 一般 投資人 心理 上 的 指數 關卡 總是 出現 先 過關 再 拉回 整理 的 走勢 半年線 關卡 四千四百 點 或許 仍 會 以 此 種
優勢,有助於,大盤,上 週六 的 收盤 指數 重回 十日線 上 六日 RSI值 亦 回到 5945 顯示 短 多 重新 掌握 優勢 有助於 大盤 的 上攻 但 上檔 72日線 3414 點 的 反壓 應 保持 密切 觀察 逢 壓 先 賣
