left_word,target_word,right_word,context
個,難得,的,攝影 的 大 朋友 們 興高采烈 的 帶 著 天文 望遠鏡 到 阿里山 去 觀測 並且 拍攝到 一 個 難得 的 畫面 那 就 是 今年 回歸 的 1992t 週期 彗星 利用 直徑 16 公分 大 的 天文
是,難得,一,太陽 的 時候 才 會 出現 而且 能夠 拖 著 一 條 明亮 長 尾巴 的 彗星 更 是 難得 一 見 彗星 的 尾巴 分成 兩 種 一 種 是 氣體 的 離子尾 離子尾 是 直直 的
真,難得,呀,當 主席 就 出 了 個 紕漏 真 是 糗呆 了 不過 當 小 主席 的 經驗 可 真 難得 呀 上台 指揮 四年一班 陳瑞芬 那 一 天 早上 老師 開 完 會 回來 就 告訴 我們 第八
可是,畢竟,有限,所以 都 沈 到 池 底 日積月累 也 就 變成 寶藏 窟 了 寶藏 雖然 很 吸引 人 可是 畢竟 有限 很 快 的 我們 就 把 裡面 臭臭 的 寶貝 統統 挖光 了 挖光 了 寶貝 以後
挫折,難免,心灰意冷,會 游泳 了 媽媽 也 為 我 拍手 游泳 時常 喝 了 一 肚子 水 有時候 遇到 了 挫折 難免 心灰意冷 老師 開玩笑 的 說 喝到 水 沒關係 不要 被 別人 喝光 就 好 了 聽 了 老師
我們,總是,喜歡,剪下來 給 我 奶奶 出去 買 菜 的 時候 常常 把 我 留 在 家 裡 陪 他 我們 總是 喜歡 在 家 一起 看 錄影帶 不然 就 是 出去 散步 去 我 相信 我們 祖孫 的 感情
你,總是,哈哈,去 我 每 次 都 嚇 得 提心弔膽 怕 您 真的 會 把 我 丟下 樓 去 而 你 總是 哈哈 大笑 的 罵 我 傻瓜 再 摸摸 我 的 頭 如今 這些 往事 都 只 能 回味
候選人,總是,發,呢 差別 就 在 環保 和 人才 兩 方面 在 環保 方面 因為 一般 自治市 選舉 每 位 候選人 總是 發 一 大 堆 傳單 不但 製造 垃圾 還 浪費 資源 本 校 推行 的 班聯會 卻 是
媽媽,總是,過去,一樣 媽媽 除了 對 我們 一家人 付出 許多 關愛 也 常 幫助 別人 每當 鄰居 有 困難 時 媽媽 總是 過去 幫忙 因此 媽媽 有 許多 朋友 每 天 家門 口 總 有 三四 人 站 在 那
內容,總是,像,社團 活動 六年忠班 陳韻筑 週末 是 我們 最 期待 的 日子 因為 本 校 社團 活動 琳琅滿目 的 內容 總是 像 磁鐵 一般 的 吸引 著 我們 本 校 雖然 每 學年 才 兩 班 可是 社團 活動
時候,總是,記得,啊 哦 啊 的 唱 著 以 訓練 我們 的 音質 因此 每當 我 在 蹲 馬桶 的 時候 總是 記得 老師 的 指導 無時無刻 的 自我 訓練 一 番 有 一 次 校長 忽然 到 音樂 教室
時,總是,面帶笑容,我們 無限 的 關懷 印證 了 一 日 為 師 終身 為 父 的 俗語 溫 老師 上課 時 總是 面帶笑容 在 課堂 上 非常 認真 的 教 我們 讀書 又 怕 我們 不 懂 常常 講解 很多
他,總是,偷偷,一 天 比 一 天 進步 粗心 大意 粗心 大意 是 一 位 令 人 討厭 的 客人 他 總是 偷偷 跑進 家 裡 帶來 一 大 堆 的 麻煩 令 人 氣 得 火冒三丈 而且 粗心 大意
