left_word,target_word,right_word,context
珍貴,難得,的,到 青銅器 時代 在 中國 從 西元 前 十七世紀 到 漢朝 約 兩千 年 之 久 人們 用 珍貴 難得 的 青銅 大量 鑄造出 造型 典雅 花紋 精美 銘文 清晰 的 禮器 樂器 及 兵器 它 代表 了
來,畢竟,是,畫作 裡 那些 永 不 消損 的 食物 的 意義 比 寇克道格拉斯 填滿 冰箱 裡 的 實際 物質 來 畢竟 是 一 種 令 人 尊敬 的 昇華 4 奇美 基金 逐年 在 倫敦 巴黎 紐約 涉足 藝品
趨勢,畢竟,美,衝突 會 升高 但 長期 和平 可期 對 台灣 而言 雙邊 和平 解決 是 最 佳 的 發展 趨勢 畢竟 美 中 若 交惡 北京 即可 能 由 反 美 而 反 親 美 的 台灣 台灣 即使
愛顧,畢竟,各,在 已 高度 工業化 的 中華民國 臺灣 這 項 傳統 工藝 仍 受 人們 普遍 的 眷戀 與 愛顧 畢竟 各 種 漆器 製品 已 與 中國人 共同 生活 了 千百餘 年 它 已 成為 中國人 精神 領域
後腿,畢竟,鬼,越 幫 越 忙 做生意 講 誠意 鬼鬼祟祟 或是 遇到 內 神 通 外 鬼 自己 扯 人 後腿 畢竟 鬼 跟 人 嚎 哭 勿 同 聲 好人 壞人 要 認清 尤其 不可 找上 吸血鬼 借 高利貸
自然,畢竟,鬼,觀眾 當 實驗品 故意 去 接觸 不 太 自然 吧 一 位 製作人 表示 的確 關鍵 就 在 自然 畢竟 鬼 的 發現 與 面對 不只 是 面對 另 一 外星人 面對 另 一 種 生命 層次 罷了
我們,的確,甚,衣料 互相 摩擦 的 窸窣聲 卻 戛然 靜立 在 這裡 活生生 的 生命 依然 發散 體熱 和 體香 我們 的確 甚 難 分辨 參觀 者 之 熱心 湧來 是 由於 藝術 本身 抑或 那 逼真 的 素材 內容
天,的確,有,這 件 事 上 還是 要 專心 工作 一 位 不 願意 具名 的 台商 表示 這 幾 天 的確 有 一 兩 個 年紀 比較 輕 的 副理級 中方 幹部 對於 北約 轟炸 中共 駐 南斯拉夫 大使館
政府,的確,具備,作法 粉碎 歹徒 罪行 得逞 的 機會 久而久之 義大利 千面人式 的 犯罪 頻率 果然 大幅 降低 我們 相信 政府 的確 具備 打擊 犯罪 維持 法治 社會 的 決心 與 能力 但 若 能 參考 其他 國家 作法 也許
限制,的確,有,激勵 投資人 不過 在 台 外國 券商 強調 台灣 要 走向 國際化 自由化 的 市場 對於 外資 的 限制 的確 有 必要 逐一 鬆綁 過去 主管 機關 常 把 外資 當作 股市 控 溫 工具 常 以 外資
機會,的確,比,的 她 說 至於 工作 機會 學 政治 的 她 坦承 在 高雄 能 展現 所 學 的 機會 的確 比 台北 少 所以 她 選擇 自行 創業 三 年 前 她 與 朋友 合資 五百萬 元 開設
之間,的確,存在,企劃 節目 都 從 全國性 觀眾 的 角度 和 期待 的 水準 出發 她 並 不 否認 南北 之間 的確 存在 差異 那 只 是 兩 者 的 調子 或 口味 不同 而已 先 做 朋友 再 談
表示,的確,關鍵,提高 收視率 的 手段 拿 觀眾 當 實驗品 故意 去 接觸 不 太 自然 吧 一 位 製作人 表示 的確 關鍵 就 在 自然 畢竟 鬼 的 發現 與 面對 不只 是 面對 另 一 外星人 面對 另
自,難免,發生,因 特殊 時空 環境 而 修改 外 全文 三百五十七 條 條文 並 未 經 全面 檢討 與 翻修 自 難免 發生 刑法 規範 與 現實 社會 脫節 的 缺失 如 引發 社會 恐慌 對 正派 經營 超商 造成
高雄人,難免,有,工人 一起 喝喝 維士比 吃吃 檳榔 才 能 贏得 他們 的 認同 與 支持 由於 長久以來 受到 忽視 高雄人 難免 有 凡事 要 與 台北 一較長短 比 大 的 心態 在 高雄 以 大王 大帝 國王 帝王 為
奔馳,難免,覺得,發展 的 重擔 五十 年 來 高雄 像 是 個 火車頭 拉 著 台灣 的 工業 往 前 奔馳 難免 覺得 辛苦 氣喘如牛 在 一九七年代 外銷 導向 的 經濟 政策 下 高雄 由 加工 出口區 開始 漸漸 發展為
內,難免,招來,東西 做 事 不 順利 也 是 沖到 惡煞 如此 將 一切 現象 都 放入 靈異 的 框框 內 難免 招來 怪力亂神 的 質疑聲 了 這樣 一味 親近 鬼神 也 是 另 一 種 的 不 知 鬼神
台灣,總是,忐忑不安,美 中 關係 的 太平 歲月 每當 中共 領導人 訪 美 或是 美國 總統 前往 大陸 報 聘 台灣 總是 忐忑不安 深恐 中共 又 在 台灣 問題 上 做 文章 使 美國 掉入 陷阱 此 一 擔心 實在
