left_word,target_word,right_word,context
屬,難得,希望,因為 家 和 萬事 興 苗栗縣 這 個 山城 能 有 數十 年 來 和平 的 紀錄 殊 屬 難得 希望 這 次 只 是 偶發 事件 一向 和氣 的 苗栗縣 議會 前天 為 了 曾 因 興建
誠屬,難得,今天,今 的 台灣 早期 版畫 中 以 福建 美記 的 產品 為 多 保存 得 尚 稱 完整 誠屬 難得 今天 去 Wellesley College 參觀 這 是 新英格蘭 出名 的 女子 學院 整 個 校園 可以 用 幽
一生,難得,的,的 美 但 若 從 理智 上 考量 就 會 發現 不 值得 賴峰偉 指出 夫妻 結髮 是 一生 難得 的 緣份 當然 要 珍惜 夫妻 雙方 都 有 義務 來 維持 圓滿 忠於 婚姻 者 在 各
是,難得,一,世界 並且 成 了 受 政府 特意 維護 的 風景區 其實 這 個 湖 雖然 在 台灣 可能 是 難得 一 見 的 風景區 在 美國 只 能 算是 小 池塘 比 它 更 漂亮 的 湖 至少
否則,難得,一,依舊 非 得 到 幾 個 公立 的 博物館 去 不 可 因為 私人 收藏 除非 交情 特別 否則 難得 一 窺 而 台灣 的 博物館 卻 少 得 可憐 遑論 開放 給 人 參觀 的 私人 美術館
這,畢竟,是,以及 布蘭 史考特 小說 中 所 描述 的 人物 高大 優雅 穿 著 黑色 斗蓬 的 紳士 然而 這 畢竟 是 小說 中 所 虛構 的 人物 如果 要 對 吸血鬼 有 深切 確實 的 瞭解 我們 就
態度,畢竟,活動,主導 例如 微生物 然而 一般 人 對於 死人 仍 能 活動 一 事 仍然 抱持 著 不可思議 的 態度 畢竟 活動 是 屬於 活人 的 專利 而 人 死 後 就 必須 安詳 長眠 才 是 這 種
然而,畢竟,不,的 可能 這 是 專欄 的 不足 部分 誠然 有 些 專欄 確實 可以 提出 精闢 的 見解 然而 畢竟 不 容易 這 股 趨勢 主要 仍 是 在 拍賣場 及 私人 收藏 中 才 得 見到 一般
也,的確,使,雖然 這 個 中國 傳統 固有 音樂 在 台灣 已 漸 趨 式微 無 往昔 興盛 惟 它 也 的確 使 台灣 奠定 了 以 中華 文化 為 中心 的 音樂 根基 滋潤 了 台灣 民俗 歌謠 的
言,的確,是,議員 與 旁聽席 上 的 民眾 發生 衝突 相互 拉扯 創下 幾乎 全武行 的 紀錄 對 苗栗縣 而 言 的確 是 不 好 的 象徵 因為 家 和 萬事 興 苗栗縣 這 個 山城 能 有 數十 年
也,的確,只有,其它 的 事情 就 應該 保持 存疑 的 態度 然而 掘 墓 事件 中 的 許多 細微 末節 也 的確 只有 當時 親身 體驗 的 人 才 明瞭 現代 醫學 當然 也 可以 給予 這些 現象 不同 的
也,的確,發生,指床 而 言 如果 整 個 吸血鬼 事件 只是 單純 的 由 屍變 所 引起 而 掘 墓 也 的確 發生 過 那麼 這裡 就 產生 了 一 個 問題 為什麼 吸血鬼 事件 會 演化 成為 今日 眾說紛紜
稱號,的確,他,的 塵世 生活 他 的 一生 贏得 了 舉世 的 尊敬 和 MahatmaGandh 偉大 的 靈魂 甘地 的 稱號 的確 他 是 人間 少見 的 偉大 靈魂 中國人 把 Mahatma 譯成 聖雄 實在 貶低 了 甘地 的 價值
她,的確,是,也 有 其它 村民 相繼 死亡 的 已經 給予 她 的 親人 及 朋友 足夠 的 理由 相信 她 的確 是 遭到 一 名 死屍 的 攻擊 正 如 她 所 形容 的 一般 這 也 是 其它
一半,的確,兩,說 一 機構 一 階段 和 一 機構 兩 階段 修憲 沒有 什麼 兩 樣 李煥 說 對了 一半 的確 兩 者 沒有 什麼 不同 因為 兩 者 都 不 符合 台灣 現實 不 把 台灣 當作 憲改
證實,的確,是,這 是 因為 吸血鬼 飽 飲 人 血 的 緣故 這些 觀察 記載 依據 現代 臨床 醫學 的 證實 的確 是 正確 的 當 一 具 屍體 開始 腐爛 時 很 正常 的 它 會 有 膨脹 現象
屍體,的確,會,既然 屍體 仍 有 哀嚎 的 本能 那麼 是 不 是 代表 阿諾德 波爾 死而復活 了 呢 其實 屍體 的確 會 發出 聲音 即使 是 搬移 屍體 都 有 可能 發生 更 何況 是 一 根 厚實 的
這,的確,是,吸血鬼 就 是 一 具 肢體 略 有 移動 血液 仍 能 流動 而 尚未 腐爛 的 屍體 這 的確 是 種 由來已久 的 誤解 屍體 四肢 的 移動 只 是 種 暫時 的 狀況 血液 的 流動
呈現,難免,受限,不失 趣味 他 認為 古典 文學 作品 中 有 許多 值得 分析 的 材料 然 以 專欄 方式 呈現 難免 受限 於 字數 使得 有 些 問題 的 探討 廣度 與 深度 皆 嫌 不足 專欄 所 探討
專欄,難免,流於,局部 管窺 然而 這些 問題 的 牽涉面 通常 很 廣 而 媒體 又 不可能 提供 足夠 篇幅 使得 專欄 難免 流於 速食 文化 之 途 彷彿 用畢 即 棄 的 思想 消費 加以 有 些 專欄 是 針對
因此,難免,有,現象 的 刺激 作 類似 直覺 的 立即 反應 這樣 的 反應 通常 根據 自身 的 立場 發言 因此 難免 有 重複 的 可能 這 是 專欄 的 不足 部分 誠然 有 些 專欄 確實 可以 提出 精闢
時,難免,主觀,上軌道 因此 他 以 批判 觀點 挖掘 隱含 問題 激發 大眾 反省 問題 之 初始 當然 在 提問 時 難免 主觀 然而 不論 對錯 皆 可 透過 問題 作 另 一 層次 的 思考 而 不 是 始終
的,總是,會,一 個 惡魔 當 人們 對於 有 可能 成為 吸血鬼 的 嫌疑犯 進行 掘 墓 時 無法 避免 的 總是 會 強調 其 屍身 的 完整性 以 支持 他們 的 觀點 至於 全 台北市 賭博 電玩 業者 的
又,總是,望,出去 台幣 升值 上千 人 反核 蔣孝文 死 了 朱高正 判刑 等等 聽起來 好 像 很 遙遠 可 又 總是 望 著 台灣 有 些 甚麼 事兒 呀 老兄 你 地道 台灣人 了 林昭良 走近 半 步 倒
或,有助於,族群,緊張 的 關係 久而久之 對 內 便 產生 族群 意識 對 外 則 產生 族群 情結 族群 意識 或 有助於 族群 內 的 親愛 和 團結 族群 情結 卻 往往 危害 別 個 族群 的 發展 破壞 整體
