left_word,target_word,right_word,context
很,難得,尋覓,擁有 相同 的 工作 背景 也 喜歡 從事 靜態 寫作 更 愛 走向 大自然 與 大地 共舞 真 很 難得 尋覓 到 如此 契合 的 朋友 今天 內容 談 得 盡 是 些 風花雪月 吟詩 唱對 老實說 我們
中,難得,的,在 那裡 站 了 一會兒 不 知道 為什麼 眼淚 滴 了 幾 滴 下來 這 是 洪醒夫 小說 中 難得 的 含蓄 之 筆 無疑 這 個 婦人 聰慧 賢德 她 流淚 因為 她 深深 了解 丈夫 的
中,難得,回去,消息 我 因為 有 個 指導 教授 生病 這些 時 都 住 到 宿舍 裡 陪 他 家 中 難得 回去 昨天 才 聽 家母 說起 令尊 大人 之 事 甚 悲痛 在 此 致 問候 之 意
動機,畢竟,是,帶走 結果 胎兒 掉 了 秀芬 抑鬱 而 終 伯媽 雖然 一直 將 秀芬 視如己出 但 她 的 動機 畢竟 是 不 純正 的 為了 挽回 先生 的 心 先生 的 心 不但 沒有 挽回 卻 造成 另
議題,畢竟,生命,越來越 多 不單單 是 少年 小說 作家 包括 創作 繪本 童話 等 作家 都 已經 關注 到 死亡 議題 畢竟 生命 中 可能 遭遇 的 死亡 有 太多 的 可能性 沒有 一 個 人 可以 說出 死亡 的
湯匙,畢竟,還,啊 我 不過 是 一 根 玉米 濃湯 專用 的 湯匙 吶 嗯 嗯 嗯 我 猛 點頭 湯匙 畢竟 還 是 湯匙 啊 湯匙 低喃 著 湯匙 通常 是 很 固執 的 不 知 是 不 是
先生,畢竟,是,又 急 又 累 不過 偶爾 緊繃 著 比較 能 保有 廣告人 的 戰鬥力 呵 呵 呵 哈姆 先生 畢竟 是 對 廣告 有 著 某 種 程度 體認 的 資深 廣告人 難纏 的 日常 客戶 總是 很
吶,畢竟,廣告,的 說 著 呵 呵 呵 我 還 以為 從此 不 太 有 人 敢 進 廣告界 了 吶 畢竟 廣告 這 一 行 不 是 人 做 的 不 是 人 做 的 呵 呵 呵 哈姆
先生,畢竟,和,可能 真的 是 沒 聽見 我 說 的 話 吧 其實 也 不能 怪 英子 小姐 和 哈姆 先生 畢竟 和 一 個 已經 死去 31 年 的 老 廣告人 一起 工作 真的 不 知道 還 能 說
我,畢竟,是,一 種 感到 好笑 的 表情 望 著 我 別 忘 了 我 就 是 你 喔 而 我 畢竟 是 炸彈客 呀 我 以為 你 是 開玩笑 的 呀 我 說 回想起 昨天 他 說 要 炸掉
的,畢竟,和,這 點 你 可 得 想 清楚 炸彈客 說 得 對 沒有 他 的 生活 是 很 難熬 的 畢竟 和 炸彈客 在一起 聊天 他 總是 會 說出 世界 上 最 好笑 的 笑話 我 一 天 沒有
炸彈客,畢竟,還,沒有 炸彈客 的 陪伴 這 世界 上 再 也 不會 有 人 這麼 了解 我 了 呀 然而 炸彈客 畢竟 還 是 炸彈客 呀 而且 他 不 是 隨隨便便 開玩笑 的 炸彈客 呀 他 是 認真 的 專門
事,畢竟,海洋,男子 居然 回信 了 信 的 內容 說不上 好看 對方 也 不能 理解 炸彈客 是 怎麼 一 回 事 畢竟 海洋 男 住 在 一 種 專門 出產 無聊 信 的 地方 信 的 內容 不 是 問
接受,畢竟,像,可以 啦 只要 能 繼續 寫信 能 忘掉 炸彈客 這 個 迷人 的 傢伙 一切 我 都 可以 接受 畢竟 像 海洋 男 再 怎麼 無聊 的 信 我 都 可以 回 了 換 一 個 對象 也
難過,畢竟,仙女糖,之後 我 還是 會 問 河流 你 還 想 著 仙女糖 嗎 他 說 有時候 想起 還是 有點 難過 畢竟 仙女糖 是 世界 上 最 美好 的 仙女 呀 你 呢 會 想 炸彈客 嗎 會 呀 畢竟
呀,畢竟,炸彈客,難過 畢竟 仙女糖 是 世界 上 最 美好 的 仙女 呀 你 呢 會 想 炸彈客 嗎 會 呀 畢竟 炸彈客 也 是 世界 上 獨一無二 的 炸彈客 呀 然而 呀 河流 呀 只要 你 開始 說起 河流
芸芸眾生,畢竟,門神,的 大 門神 也 威嚴 的 站 在 牆 上 橫眉豎目 的 注視 著 每日 進出 市府 的 芸芸眾生 畢竟 門神 是 中國人 過年 的 應景 既然 能 驅邪 納吉 國人 見怪不怪 怕 是 外國人 會 大吃一驚 以為
不懷好意,畢竟,我,忍 就 過去 則 是 老實話 小孩子 打針 會 痛 喔 呵 呵 呵 請 原諒 我 的 不懷好意 畢竟 我 挨 了 兩 針 在 等待 麻藥 生效 的 空檔 他 尷尬 地 無 事 可 做
不過,畢竟,滅,讓 我們 的 士兵 得到 休養 與 恢復 嗯 言 之 由 理 雖然 現在 放棄 有點 可惜 不過 畢竟 滅 趙 不 是 一朝一夕 可 功 之 事 急不得 的 就 照 你 的 意思 辦 吧
好奇心,畢竟,世界,這 真是 我 心想 好 直率 的 一 個 女孩 啊 不過 倒 對 她 起 了 點 好奇心 畢竟 世界 上 會 一 見面 就 和 人家 囉哩叭說 的 人 並 不 多 是 誰 這麼 教
但,畢竟,和,感受 她 啜飲 咖啡 時 的 滿足 已經 快 成為 現在 我 每 一 天 的 重點 了 但 畢竟 和 她 之間 還是 有 那麼 一些些 的 距離 也 許是 因為 根本 上 就 處於 不同 世界
溝通,畢竟,五,那 一 部份 今天 的 他 好像 變成 我 的 張老師 一直 勸 我 要 好好 跟 祺 溝通 畢竟 五 年 的 感情 維持 不易 要 好好 珍惜免得 到時候 後悔 我 只 淡然 的 表示 我 明白
方法,畢竟,五,表示 我 明白 或許 有 一 天 我們 會 找到 一 個 彼此 都 能 溝通 的 好 方法 畢竟 五 年 的 時間 真的 很 長 很 久 X月 9日 星期一 天氣 晴 心情 好 混亂 打
自己,畢竟,決定權,呢 即 然 是 負擔 又 如何 生活 一輩子 呢 他 要 我 告訴 那 個 女孩 珍惜 自己 畢竟 決定權 是 自己 可以 再 找 父親 談談 或許 還 有 轉圜 的 餘地 不 知道 是否 是
不過,畢竟,這,讀 手套 與 愛 宛如 讀 著 渡也 的 日記 般 可以 看到 驚人 的 真實 與 坦白 不過 畢竟 這 只 是 詩 中 的 真實 而 不 是 現實 世界 的 真實 詩 中 的 真實
惘然,畢竟,她,過來 懊惱 啊 大信 上 頁 232 當 貞觀 接到 這 類 的 信 時 心 裡 總是 惘然 畢竟 她 只 是 個 異鄉人 對 臺北 並 沒有 特殊 的 看法 不過 如果 她 要 踏遍 臺北
話,的確,說,說 嗯 嗯 嗯 我 猛 點頭 一 首 詩 等於 一 個 生 命 她 這 句 話 的確 說 得 很 好 老實說 我 偶爾 噢 不 不 應該 說 是 經常 吧 我 老是 經常性
存在,的確,是,人們 肆無忌憚 地 為 災難 來源 奠定 基礎 掌握 人生 權勢 才 是 重點 那 短暫 瞬間 的 存在 的確 是 比 其他 看 不 見 的 寶物 還要 真實 許多 當然 是 指 他們 而言 不 需要
你,的確,還是,我 也 無所適從 不過 也 可能 帶 著 一點點 的 忌妒 成分 我 才 這麼 亂來 的 因為 你 的確 還是 行動 了 我 無法 做到 的 決定 當時 我 也 沒有 能夠 阻止 你 的 理由 等
其實,的確,有,量 的 原因 各位 先進 對不起 我 岔 個 話 我 代表 太空 總署 發 個 言 嗯 其實 的確 有 外星人 存在 而且 我們 這 幾 年 聯絡 的 相當 頻繁 現在 不 是 DISCOVERY 頻道 的
世界,的確,容易,確實 也 可 反映 或 造成 觀察 書寫 上 角度 的 完整 與 客觀性 當然 小說 的 意象 世界 的確 容易 造成 故事 的 虛構 成分 但是 在 文學 中 所 添加 的 報導 成分 對於 較 客觀
標語,的確,印證,與 愛 的 行動 中 父親 的 身教 堅定 了 孩子 的 未來 心動 不如 馬上 行動 的 標語 的確 印證 了 親子 間 密不可分 的 關係 四 師生 之 情 你 無法 教會 人 任何 事情 你
英雄,的確,一,四 人 皆 可以 為 堯 舜 坎伯 認為 每 個 人 在 出生 時 都 是 個 英雄 的確 一 個 呱呱 落地 的 嬰兒 脫離 舒適 的 子宮 羊水 把 自己 變成 會 自行 呼吸 的
打嗝,的確,結束,一 搏 扳回一城 一 發狠 散逸 的 思緒 喚回 意志力 能 結束 這 場 遊戲 嗎 激烈 的 打嗝 的確 結束 了 卻 不 是 整 首 樂曲 的 終了 隨之 而 來 的 是 可愛 的 連續
好,的確,是,裡 我們 做出 了 一 項 決議 關於 人員 的 編制 問題 你 也 知道 景氣 現在 不 好 的確 是 應該 努力 保住 我們 的 那些 老 客戶 所以 說 你 偏向 保守 的 作風 其實 是
勾當,總是,不得,來 蝸居 在 城 角 人家 屋頂 加蓋 的 斗室 窮極無聊 百 思 欲 解出 個 賺錢 的 勾當 總是 不得 其 門路 這 晚 月 光光 照 腳瘡 觀 月 的 井蛙 被 春 貓 的 嘶號聲
因為,總是,在,元氣 的 美味 簡單 卻 永遠 不會 忘記 因為 這 道 料理 的 顏色 是 燦爛 的 金黃色 因為 總是 在 生病 時 才 有 機會 吃到 也 因為 媽媽 會 特別 裝 在 比較 漂亮 的 卡通
卻,總是,有,知道 了 黃金 御用 稀飯 的 由來 也 才 終於 明白 了 為什麼 那麼 簡單 的 料理 吃起來 卻 總是 有 一 種 溫暖 無比 美味 的 感受 吃 了 一些 稀飯 感覺 頭痛 跟 胃部 的 不適
台,總是,搖頭晃腦,的 從 我 那 有點 凹陷 而且 非常 悶熱 的 小 床墊 掙扎 起來 後 又 和 那 台 總是 搖頭晃腦 發出 極 大 噪音 來 證明 自己 存在 的 聲寶牌 直立式 電風扇 對望 了 十一 分鐘 又
我,總是,抿緊,好 滑稽 喲 你們 看 她 穿 的 洋裝 灰土土 的 顏色 好像 蟑螂 喔 對於 這些 言語 我 總是 抿緊 著 嘴 站 在 一 旁 像 在 森林 裡 遇見 黑熊 一樣 動 也 不 動
上,總是,會,再婚 又 離婚 的 男女 也 不一定 吶 可以 終結 孤單 的 流行 神話 在 這 個 世界 上 總是 會 有 那麼 一 群 孤單 的 人 在 找尋 另 一 群 同樣 也 是 孤單 的
他們,總是,會,死亡 這 件 事 在 彼此 的 心 中 造成 了 很 大 的 震撼 因為 在 晚上 他們 總是 會 做 惡夢 於是 河邊 提議 要 觀察 快 死 的 獨居 老人 去 發現 死亡 的 真相
