left_word,target_word,right_word,context
熱愛,難得,有,自從 看到 別人 拉 胡琴 吹 笛子 奏出 優美 動聽 的 旋律 從此 就 對 國樂 產生 了 熱愛 難得 有 這 個 機會 我 當然 選擇 了 它 記得 第一 次 上課 的 時候 每 個 人
開始,畢竟,還,你 為榮 小學 畢業 是 人生 旅途 的 一 個 驛站 也 是 另 一 個 旅途 的 開始 畢竟 還 有 很 長 的 路 要 走 加油 加油 我 相信 你們 會 成功 的 小朋友 寫
設備,的確,給,重要 的 角色 天花 地坪 當然 也 會 有 影響 不過 所 佔 的 比例 較少 陳勝彥 相關 設備 的確 給 設計 帶來 很 大 的 困難 原因 可能 是 因為 我們 社會 的 工業化 水準 不 夠
時,總是,聽到,去 上學 的 那 段 時間 裡 讓 牠 自由 活動 每 當 我 和 姊姊 放學 回家 時 總是 聽到 兩 聲 狗叫聲 像是 在 歡迎 我 和 姊姊 回家 似的 轉眼間 小白 已 長大 了 也
淚水,總是,不,坐 在 窗 前 想 著 朋友 之間 的 緣分 師生 之間 的 情感 想到 如今 將要 分離 淚水 總是 不 聽 使喚 滾落 在 頰 上 一切 的 景物 仍然 沒有 改變 但 時光 總是 最先 溜走
時光,總是,最先,將要 分離 淚水 總是 不 聽 使喚 滾落 在 頰 上 一切 的 景物 仍然 沒有 改變 但 時光 總是 最先 溜走 記得 昨天 我 才 是 一 個 剛 讀 一年級 的 黃毛丫頭 現在 已經 是 個
吉吉,總是,笑,得 更 徹底 更 完善 大 胖 豬 豪豪 老是 笑 瘦皮猴 瘦 得 像 根 竹竿 瘦皮猴 吉吉 總是 笑 大 胖 豬 圓 得 像 粒 西瓜 你 看 大 胖 豬 挺 著 個 肚子
你,總是,拖拖拉拉,驚訝 是 啊 我 一直 都 是 晨跑會 的 會員 以前 我 不 是 鼓勵 你 參加 嗎 你 總是 拖拖拉拉 的 不 肯 來 你 看 我 現在 不 是 來 了 嗎 今天 來 還 不
構想,總是,與,構想 被 後人 認為 是 多麼 糟糕 我們 必須 承認 一 點 烏托邦 的 社會 理想 和 城市 構想 總是 與 邏各斯 聯繫 在一起 在 中世紀 邏各斯 以 上帝 的 權威 出現 文藝復興 以來 尤其 啟蒙 運動 之後
時光,總是,悄悄,最 有名 的 餐廳 更 見識到 了 全 世界 最 大 的 賭城 拉斯維加斯 的 風貌 快樂 的 時光 總是 悄悄 的 溜走 輕風 繫 不 住 流雲 海 雲 帶走 了 美好 歲月 一轉眼 暑假 過完 了
時光,總是,匆匆,臨 睡 前 的 那 段 時間 是 我 一 天 最 快樂 的 時候 而 美好 的 時光 總是 匆匆 溜走 但 我 會 永遠 珍惜 這 段 時間 的 我 的 綽號 二重 國小 五年十七班 莊雅惠
我,總是,替,時 大家 取 的 每 次 作文課 左鄰右舍 一 遇到 不會 寫 的 字 便 來 問 我 我 總是 替 他們 解決 問題 日後 大家 就 叫 我 小 電腦 小 貓咪 是 四年級 時 老師 在
外公,總是,會,的 皺紋 村子 裡 的 小孩子 都 很 喜歡 跟 外公 玩 每 當 我們 回 鄉下 時 外公 總是 會 帶 我們 去 抓 一些 小 魚 小 蝦 每 當 我們 要 回家 時 外公 常常
那裡,總是,最多,的 同學 在 練習 真 賣力 呀 遊戲 器材 是 大家 最 喜歡 去 的 地方 一 下課 那裡 總是 最多 人 大家 都 捨不得 離開 學校 的 工友 先生 很 辛苦 一早 來 就 看到 工友 先生
真正,有助於,振興,人 不能 太 正直 應 現實 一點 及 視 時務 為 俊傑 放 聰明 些 等 氣氛 但 真正 有助於 振興 地方 的 政策 均 不見 落實 祇有 積極 醉心 於 土地 投機 的 事業 以 一些 甚為
此,有助於,提升,負作用 的 預防 與 補救 理念 與 制度 法規 特別 是 失敗 的 學習 等 期 能 以 此 有助於 提升 日後 台灣 觀光 風景區 開發 的 品質 牆 與 空間 設計 的 主題 及 表現 李瑋泯 牆
就,有助於,在,傳統 中國 建築 裡 扮演 著 多重 角色 設計 者 若 能 深入 瞭解 這些 角色 與 功能 就 有助於 在 設計 上 的 發揮 陳勝彥 在 一般人 的 印象 中 牆 是 實體 的 牆 上 可以
分析,有助於,人類,邊緣 狀態 的 人群 未免 將 共 屬 人類 的 烏托邦 信仰 離散 了 這 種 細緻 的 分析 有助於 人類 了解 不同 階層 的 理想 與 現實 的 差異 卻 無助於 說明 人類 作為 一 個 整體
