left_word,target_word,right_word,context
個,難得,一,出現 台灣 東方 上空 此 次 流星 高達 六千 顆 之多 台灣 地區 可 看到 二千 顆 這 個 難得 一 見 的 天文 奇觀 值得 熬夜 欣賞 想要 浪漫 許願 嗎 現在 就 可以 好好 計畫 超炫
場,難得,一,就 可以 好好 計畫 超炫 觀星 行程 了 十一月 中旬 在 秋季 的 星空 將 會 上演 一 場 難得 一 見 的 天文 奇觀 獅子座 流星雨 這 是 繼 哈雷 彗星 百武 彗星 海爾 波普 彗星 之後
巷,畢竟,太,了 我 緩緩 向 一 旁 移 身 雖然 他們 全然 感覺 不 出 我 的 存在 但 巷 畢竟 太 窄 對 還 想 繼續 觀賞 的 我 有些 自覺 的 窘尬 我 立定 身 面向 他倆
了,畢竟,彼此,的 人家 的 變化 卻 看 得 清清楚楚 喲 眼角 有 了 皺紋 了 白 頭髮 可 不少 了 畢竟 彼此 是 同 歲 在 人家 看來 我 的 變化 也 應該 一樣 清楚 互相 當 鏡子 好
理念,畢竟,要,所 需要 的 親和力 與 台灣 本身 的 社會 脈動 日形 脫節 以是 張我軍 所 點燃 的 文學 理念 畢竟 要 到 賴和 的 出現 才 有 了 作品 上 真正 的 落實 生根 才 有 了 作品
過去,的確,在,少少 地 存在 著 好 傢 在 我 鬆 了 口氣 總算 有些 殘跡 還 在 證明 我 過去 的確 在 此 地 生活 過 不 是 時空 錯置 不 是 妄想症 沒有 失憶 我 朦朦朧朧 感覺到 台灣
這,的確,是,個 集子 這 是 一九七五年 版 張我軍 詩文集 裡 張光直 寫 的 序文 開頭 的 第 一 段 這 的確 是 歷史 的 反諷 因為 收 在 這 個 集子 裡 許多 重要 的 篇章 例如 致 台灣青年
管控,的確,是,必然 大打折扣 因此 即使 政府 提出 擴大 內需 方案 有 其 必要 但 如何 做好 預算 執行 的 管控 的確 是 一 個 更 值得 正視 的 課題 也 是 決定 一旦 執行 是否 確 能 保住 年度
遂,難免,遭遇到,用 線條 圖形 指涉 空間 地理 如同 用 語言 來 敘述 事物 因而 兩者 在 語意 符號學 上 遂 難免 遭遇到 同樣 的 哲學式 難題 這 個 難題 在 語言 上 是 C000C000C000C000C000C000C000C000C000C000C000C000C000C000C000C000 語言 的 種類 與 說法
中,總是,說,呆胞 後 的 直接 印象 與 感想 其實 早年 在 大陸 政府 的 各 種 各 樣 宣傳 中 總是 說 台灣人 生活 貧窮 吃 香蕉皮 過日子 如同 生活 在 水深火熱 之中 因此 誓言 要 解放 台灣 同胞
台灣人,總是,問,的 台灣 不能 越雷池 一 步 因此 台灣 的 一切 使 他們 非常 好奇 一 有 機會 碰到 台灣人 總是 問 東 問 西 無論 男女 都 想 知道 現在 台灣 流行 什麼 基於 對 台灣 的 好奇
我,總是,無言以對,其中 最 讓 大陸人 不解 的 是 打架 不僅 是 打群架 為何 有時 還要 給 政敵 下馬威 正中下懷 我 總是 無言以對 顯然 大陸人 不僅 是 對 台灣 的 風土民情 感到 興趣 台灣 民主 政治 發展 的 情況 亦
那些,總是,飄浮,帶領 我們 跨越 那 黑暗 而 又 光耀 的 時空 邊界 包括 那些 隱密 的 追隨 與 背叛 那些 總是 飄浮 著 木樨 香氣 的 清晨 和 夜晚 以及 我們 如何 學會 了 用 真誠 的 語言 和
分子,總是,想,工作 在 多倫多 建立 了 專業 人士 的 生活 但是 在 心 中 他們 卻 一直 是 流亡 分子 總是 想 著 家鄉 於是 在 加拿大 沒有 買 房子 也 沒有 生育 孩子 一九八九年 的 天鵝絨 革命 給
老闆娘,總是,出現,座 安靜 的 城堡 地面 層 面向 高架橋 的 傢飾店 似乎 沒有 什麼 生意 只 見 DHotel 的 老闆娘 總是 出現 在 店 門口 掃 著 那 早已 看 不 見 灰塵 的 人行道 掃地 對 她 而言
歌,總是,藏,拎 著 酒瓶 一路 狂歌 當時 的 校園 歌曲 從 華岡 一路 行過 山仔后 轉往 紗帽山 青春 的 歌 總是 藏 著 沙啞 的 狂傲 坐 在 馬路 旁 躺 在 人行道 上 歌 到 雲端 之中 的
山櫻,總是,在,戀 著 她 而 此刻 已經 不 戀 於 她 的 女子 我 的 愛情 是 草山 的 山櫻 總是 在 陽春 時節 自 開 而 自 謝 於 秋雨 如今 當年 的 狂歌 已 邈 草山 的
睡,總是,睡,叫做 暖暖 的 山村 來 兩 年 半 的 山居 生活 細想 起來 有 夢 一樣 的 感覺 睡 總是 睡 在 蟲鳴聲 中 很少 聽聞 車 馬 喧 聲 醒 也 是 醒 在 鳥語花香 的 吐息
以前,總是,別人,情形 其實 沒 變化 前 一陣 小百合 來電話 說 要 跟 我 見面 可 說 是 破天荒 的 以前 總是 別人 要 見 她 也 不一定 見 得 到 的 三 年 沒 見 小百合 真的 變 了
他,總是,一,臨死 前 已 因 注射 針劑 太過 頻繁 屁股 都 潰爛 了 然而 大家 從 銀幕 上 看 他 總是 一 個 令 人 笑聲 不斷 的 人 不 知道 他 每 天 坐 也 不 是 站
別人,總是,很,不過 這 位 法國籍 的 總裁 卻 被 美國 國會 罵 得 滿頭包 法國 財政部 反擊 說 批評 別人 總是 很 容易 很多 問題 不 在於 國際 貨幣 基金 而是 它 並 不 具有 政治 上 的 權威性
遂,總是,喜歡,是 一 種 秩序 的 想像 它 成為 後來 主要 城市 空間 基本 構造 的 模型 因此 我 遂 總是 喜歡 閱讀 古 地圖 西方 古代 表意式 的 地圖 裡 不僅 只有 疆界 域址 更多 的 是 民情
時,總是,充滿,二 個 月 才 復原 之後 蘇活 指控 賴特 故意 K 他 造成 兩 隊 每 次 交手 時 總是 充滿 著 緊張 的 氣氛 不過 印地安人隊 總教練 哈格洛夫 說 賴特 不 是 一 位 獵頭者 但 為了
將,有助於,紓解,空間 為 長久以來 陷於 擁擠 混亂 困境 的 西門町 提供 了 一 處 極 佳 的 廣場 空間 將 有助於 紓解 當地 空間 的 侷限感 同時 也 為 西門町 的 空間 優質化 注入 一 劑 強心針 到 西門町
