left_word,target_word,right_word,context
上,難得,一,意義 觀摩 太 於 競技 間接 使得 媒體 參與 的 意願 大打折扣 但是 面對 這麼多 平日 在 寶島 上 難得 一 見 的 新奇 運動 國際 頂尖 好手 們 過招 較勁 的 數百 場 好 戲 你 能夠
誠摯,難得,的,及 經濟 上 的 支援 都 無怨無悔 地 付出 將 這 段 感情 視為 無情 人世 中 最 誠摯 難得 的 真愛 然而 這樣 深切 的 愛 卻 成為 他 沈重 的 負累 因為 他 只 能 把
年假,難得,湊齊,通通 下到 海鮮 火鍋 裡 桌 上 還 有 冬至 製成 的 烏魚子 正 新鮮 吃完 年夜飯 趁著 年假 難得 湊齊 的 一家人 驅車 前往 東北角 旅遊 從 基隆 的 碧砂 漁港 到 北縣 的 澳底 宜蘭 的
已經,難得,一,要是 買到 養殖 的 就 要 加 一點 醬油 才能 遮 去 土 味 至於 龍占 五 年前 已經 難得 一 見 今年 到 現在 一 尾 龍占 都 還 沒 看到 吃遍 台灣 海鮮 的 林明峪 經常
發展,畢竟,內情,發生 發生 後 能 就事論事 當然 最 好 不能 起碼 也 要 讓 整個 事件 在 控制 中 發展 畢竟 內情 不明 畢竟 這 不能 跟 千島湖 那 種 慘案 相比 兩岸 交流 越來越 頻繁 人民 間 的
不明,畢竟,這,能 就事論事 當然 最 好 不能 起碼 也 要 讓 整個 事件 在 控制 中 發展 畢竟 內情 不明 畢竟 這 不能 跟 千島湖 那 種 慘案 相比 兩岸 交流 越來越 頻繁 人民 間 的 關係 越來越 複雜
規模,畢竟,難,幫 他 全額 買單 旅遊 寫作 仍 為 旅行 副產品 與 西方 傳媒 集團 相比 台灣 出版社 的 規模 畢竟 難 望其項背 因此 類似 有關 品味 的 寫作 模式 恐怕 仍 是 台灣 作家 可望 而 不可 即
民主黨,畢竟,以,一八 成為 只有 五分之一 支持 者 的 政黨 如果 依 朝日 電視 的 調查 則 自民黨 還 低於 民主黨 畢竟 以 凡人 或 蒙娜麗莎 要 來 當 黨 的 招牌 是 很 不 夠力 的 自民黨 其實 也
託辭,畢竟,貧窮,以及 杜絕 不 文明 的 根源 貧窮 不過 該 團體 也 呼籲 印尼 全民 勿 以 貧窮 作為 託辭 畢竟 貧窮 只 是 當下 社會 亂象 的 根由 之 一 淨化 人心 也 是 刻不容緩 在 人道 志願
計數,畢竟,培養,與 大陸 念 醫學院 之 國人 計 入 甚至 大型 醫院 引進 之 外籍 醫師 等 皆宜 列入 計數 畢竟 培養 一 位 醫 學生 需 耗費 不少 國家 資源 不宜 在 財團 壓力 下 提供 不 具體
看,的確,不,夠 一聲令下 又 拆掉 重建 最初 拍好 的 幾萬 呎 底片 全部 泡湯 能 怎麼辦 從 鏡頭 來 看 的確 不 是 我 要 的 感覺 只好 重 做 黃強華 無奈 的 說 整 部 片 有 百分之八十
肥胖,的確,在,圍籬 邊兒 看見 采菊 的 陶淵明 亦 未 可 知 服裝 不只 是 瘦 女人 的 專利 身材 肥胖 的確 在 服裝 穿著 上 受到 限制 但是 合宜 的 修飾 搭配 一樣 能夠 突破 重圍 穿出 自然美 本文
支持,難免,要,像 對 少數 民族 地區 情有獨鍾 的 郜瑩 就 是 一 個 例子 她 認為 如果 接受 出版社 支持 難免 要 受 一些 限制 這 就 已經 違反 她 當初 選擇 成為 自由 寫作 者 的 原意 因此
情節,總是,掀起,無論 是 小說 或 電影 羅麗泰 裡 中年 男子 熱烈 追求 十一 二 歲 女孩 雙方 做愛 等 情節 總是 掀起 軒然大波 該 書 在 一九五0年代 出版 後 就 一直 備受 討論 但 上 月 二十日 美國 藍燈
機關,總是,不予,的 把 石塊 載運 下 山 周美惠 很 憤慨 的 表示 當地 農民 向 地方 政府 檢舉 主管 機關 總是 不予 理會 或是 藉故 拖延 新 環境 基金會 決定 挺身而出 結合 各 級 民意代表 根據 台灣省 水利處 資料
也,總是,說,但 他 常常 希望 能 給 一些 其情可憫 的 少年 初犯 一 個 重新 開始 的 機會 他 也 總是 說 未曾 經歷 過 真正 痛苦 的 人生 哪 能 體會 人生 的 美好 洪玉彬 這 個 人
價錢,總是,養殖,肥 又 甜 下雜魚 大 翻身 然而 食客 不遠千里 去 吃 土產 量 少 的 本土 野生 海鮮 價錢 總是 養殖 或 進口貨 的 好幾 倍 許多 號稱 本 港 現 流 或是 本土 野生 的 海鮮 往往
禮服,總是,一,自戀 也 勿 顧影自憐 彰顯 優點 缺點 就 相對 減少 她 說 多數 女人 買 衣服 或 訂做 禮服 總是 一 開始 就 說 身材 的 缺點 實在 要不得 寬大 款式 比不上 俐落 線條 一般人 總 想 以
更,有助於,篩檢,一日 起 把 海關 業務 全部 遷移到 更 接近 雙方 實際 邊界 的 兀蘭站 其 理由 是 將 更 有助於 篩檢 毒梟 走私客 及 非法 移民 新加坡 並 要求 馬來西亞 比照 辦理 但 馬國 不 從 因而 引發
應,有助於,我國,因此 不免 引起 相關 業者 的 強力 反彈 但 就 國家 整體 立場 言 前述 措施 短期 內 應 有助於 我國 渡過 這 次 東亞 金融 危機 就 我們 的 觀察 我國 現行 外匯 體制 是 十多 年
服務,有助於,降低,如果 院方 願意 提供 退職金 制度 高達 九成二 的 醫師 表示 願意 在 同 一 家 醫院 長期 服務 有助於 降低 目前 偏 高 的 醫師 流動率 針對 這 項 調查 結果 基層 醫療 協會 理事長 石賢彥 指出
