left_word,target_word,right_word,context
天主教,難得,的,青年日 就 選 在 馬尼拉 舉行 當時 從 世界 各 地 來 了 將近 六百萬 的 天主教徒 是 天主教 難得 的 盛會 台灣 的 教徒 少 也 沒有 特別 的 機會 所以 雖然 我們 很 希望 能 邀請到
聚會,難得,以往,等 少數 節日 才 偶爾 上 教堂 年復一年 眼見 同輩 教友 越來越 少 彌撒 幾乎 成為 中老年人 的 聚會 難得 以往 攜家帶眷 的 盛況 她 感慨 地 說 教友 老成 凋零 缺乏 年輕 新血 使 天主教 目前 在
來,難得,的,影像 接近 死亡 可以 帶來 生命 的 改變 在 墨爾本 的 那些 天 幾乎 是 一家人 多 年 來 難得 的 聚會 無限 的 聚 談 和 回憶 像 是 一 場 馬拉松式 的 家族 治療 之 旅
來,難得,一,金融 部門 援救 方案 達成 妥協 以及 大藏省 官員 強力 喊話 作多 週一 日本 金融 市場 出現 今年 來 難得 一 見 的 榮景 日經 指數 大 漲 逾 七百 點 創下 八 個 月 來 最 大
也,難得,接獲,固定 的 訂單 也 兼 賺錢 養家 如今 草鞋 除了 殯葬 使用 幾乎 消失 無蹤 草屯 的 婦女 也 難得 接獲 草鞋 訂單 草鞋墩 鄉土 文教 協會 極力 刷新 草鞋 的 刻板 印象 積極 從 草鞋 技藝 傳承
的,畢竟,自己,建議 他們 讀 這 一 本 書 的 不過 就算 他們 嗤之以鼻 我 想 自己 也 不會 在意 的 畢竟 自己 在 更 年輕 的 時候 也 曾經 如此 自信 過 索甲仁波切 在 書 的 最後 一 章
情,畢竟,他,可以 帶領 台灣 邁向 新局 的 政黨 但是 感情 上 他 依舊 有 一 分 難以 割捨 之 情 畢竟 他 投入 半生 在 反對 運動 上 他 只 能 建議 陳水扁 用 最 冷靜 的 心 思考
夢想,畢竟,只是,種 語言 的 胚胎 整 天 呶呶不休 甚至 還 討論 著 他們 的 夢 不過 這些 好心 與 夢想 畢竟 只是 一廂情願 萬一 我們 不 是 被 孵育 著 呢 如果 這 殼 永遠 破 不了 呢 如果
呢,畢竟,自信,自信 這 兩 個 字 對 這樣 的 女人 來 說 可能 還 嫌 做作 多餘 了 些 呢 畢竟 自信 基本 上 是 一 個 相對性 的 界線性 的 名詞 擁有 它 定義 它 便 意味 著
但是,畢竟,還是,唱歌 終於 有 一 天 牠們 長 得 夠 大 了 我們 央求 媽媽 把 小白 留到 最後 但是 畢竟 還是 輪到 了 一大早 我 在 上 幼稚園 前 跑到 關 鵝 的 柵欄 前 就 只 剩
這,的確,名副其實,呼籲 世界 各 國 放棄 武器 競爭 把 錢 省下來 去 救助 那些 遭受 戰爭 殘害 的 人民 這 的確 名副其實 對 促進 世界 和平 有 很 大 的 幫助 另一方面 這 趟 和平 之 旅 也 可以
我們,的確,流失,與 教堂 失去 聯絡 另外 由於 升學 壓力 大 許多 青少年 為了 聯考 無法 參加 課外 活動 所以 我們 的確 流失 許多 教友 至於 教會 的 神職 人員 神父 最多 的 時候 超過 一千一百多 位 現在 只 有
位,的確,不,許多 教友 至於 教會 的 神職 人員 神父 最多 的 時候 超過 一千一百多 位 現在 只 有 七百多 位 的確 不 夠 修女 則 比 以前 多 一點 目前 有 一千一百多 位 因為 以前 有 許多 外籍 傳教士
也,的確,受到,就 可以 專注 於 性靈 開導 工作 不可 否認 在 社會 變動 之下 天主教 的 許多 價值觀 道德觀 也 的確 受到 很 大 的 衝擊 事實 上 我們 也 發出 許多 聲音 去 釐清 爭辯 不過 一般 媒體
女人,的確,是,陰暗 邪惡 的 代表 多 為 女性 這 是 因為 站 在 男性 的 角色 上 來 看 女人 的確 是 又 可愛 又 可怕 的 佛光 大學 校長 龔鵬程 表示 對於 早期 以 男性 為主 的 佛教
反應,的確,令,真的 有 興趣 知道 精神 事務 時 他 形容 自己 是 高興 得 驚訝 台灣 讀者 的 熱烈 反應 的確 令 人 驚訝 西藏生死書 在 西方 是 溫火 慢 燉 的 長 銷 書 到 了 台灣 卻
法則,的確,值得,種子 而 這 數萬 種子 又 會 在 未來 萌發 什麼 樣 的 思考 與 創造 呢 因緣 法則 的確 值得 深思 的確 值得 深思 元月 十四日 副總統 連戰 在 位於 義大利 羅馬 的 梵蒂岡 天主教 教廷 覲見
深思,的確,值得,數萬 種子 又 會 在 未來 萌發 什麼 樣 的 思考 與 創造 呢 因緣 法則 的確 值得 深思 的確 值得 深思 元月 十四日 副總統 連戰 在 位於 義大利 羅馬 的 梵蒂岡 天主教 教廷 覲見 教宗 若望保祿二世 隨之
變革,的確,可以,四 元 原本 的 紅標 米酒 不再 供應 但 仍 維持 二十 元 的 售價 公賣局 這 項 變革 的確 可以 對 米酒 囤積 者 有所 重創 可是 稻香 二十 度 米酒 售價 是 米酒 的 三 倍
