left_word,target_word,right_word,context
張,難得,的,細膩 精緻 音樂 風格 突出 加上 黃鶯鶯 的 獨特 唱腔 和 演繹 功力 可 稱得上 曲曲 動聽 是 張 難得 的 佳作 朱哲琴 阿姐鼓 由 世界 音樂 中 擷取 創作 靈感 與 題材 似乎 已 蔚為 九零年代 東西方
出現,難得,一,中 的 顯眼 處 當 他 見到 家族 裡 的 人 拿去 使用 他 的 臉 就 會 出現 難得 一 見 的 笑容 好 久 好 久 都 散 不 去 只是 外婆 見到 他 仍 是
豬肉,難得,看到,房間 日常 三 餐 則 由 他 母親 全權 負責 當時 物質 極度 缺乏 糧食 採 配給制 不僅 豬肉 難得 看到 白米 也 少 得 可憐 好 慘 哪 吃 得 整 個 肚子 都 是 水 彭明聰
申請到,難得,的,做 我 也許 還 能 做 得 更多 做 得 更 好 他 的確 做到 了 對於 已 申請到 難得 的 柏克萊 加州 大學 獎學金 將 主修 電腦 工程 的 官聲彥 來 說 前途 正 是 一 片
些,難得,的,呢 收藏 這 件 事 本來 見仁見智 很 難 一應俱全 王世襄 說 有 些 東西 他 沒有 有 些 難得 的 東西 他 卻 有 不過 整體 看 來 說 這 個 博物館 在 質量 上 都 超過
專輯,難得,有情人,是 張國榮 作 的 曲 展現 他 多元 的 才華 關淑怡 去年 來 臺 出版 第一 張 國語 專輯 難得 有情人 就 已 受到 歌壇 注意 是 位 頗 具 實力 的 歌手 歌聲 乾淨 詮釋 深幽 孤寂
巨星,畢竟,不,當然 在 這 段 好 時光 要 儘量 撈 了 不過 像 喬登 這 種 如此 超 超級 巨星 畢竟 不 多 但 次級 者 如 歐尼爾 因而 他們 也 能 得到 相對 高 的 租 維持 高
但,畢竟,生活,辛苦 幾 年 後 等 孩子 大 了 再 出來 闖 事業 還 來得及 他 說 儘管 如此 但 畢竟 生活 中 少 了 另 一半 單親 家長 在 教養 子女 方面 仍 常 感 力不從心 而 而
潛水人,畢竟,是,最 重要 的 是 從事 水肺 潛水 前 必須 接受 訓練 取得 合格 執照 之後 才 能 進行 潛水人 畢竟 是 海洋 的 不速之客 常 在 有意 無意 間 破壞 海洋 生態 例如 有 些 人 喜歡 帶
的,畢竟,臺灣,更 佳 的 立場 其 掙得 較 佳 條件 的 心態 應 是 大陸 當局 所 可以 理解 的 畢竟 臺灣 實在 太 小 了 然而 臺灣 在 國際 上 愈 想 掙得 權益 可謂 是 導向 更
避免,畢竟,在,種 不同 才華 的 人才 也 緩和 激烈 的 升學 競爭 然而 競爭 不可能 避免 也 不 應 避免 畢竟 在 我們 的 制度 中 我們 靠 著 競爭 分配 人力 也 靠 著 競爭 推動 經濟 和
彈性,畢竟,在,的 人生 態度 可能 就 是 如此 我 則 寧願 建議 在 積極 進取 中 保留 調整 的 彈性 畢竟 在 人生 的 追求 中 不可能 每 個 人 都 如願以償 而且 也 沒有 可以 保證 你 所
的,畢竟,文化人,害 我 感動 得 要 流淚 我 想 聰明 的 管家 林 太太 不會 把 這些 草稿本 裝箱 的 畢竟 文化人 需要 他 只要 他 把 健康 搶回來 一切 都 好說 叫 我 Adam 當天 另 有 一
