left_word,target_word,right_word,context
時節,難得,見到,多采多姿 的 蟲蟲 世界 該 博覽會 上 還 有 棲於 巢 中 的 二萬 隻 舉尾蟻 活體 此 時節 難得 見到 的 黃緣螢 幼蟲 活體 別稱 紡織娘 且 常 被 人 拿來 鬥 的 黃斑 蟋蟀 愛 翹起
小餐館,畢竟,不,的 如果 想 開店 靠 你 爸 蓋 十 棟 禮查 飯店 都 沒 問題 吧 飯店 和 小餐館 畢竟 不 一樣 呀 小餐館 親切 多 了 妳 呢 有沒有 打算 還是 準備 嫁人 了 我 大伯 哪來
看,畢竟,是,裡 的 老先生 找去 聊天 卻 還是 依然故我 聽說 舉人 家 不 把 她 當 自己 的 女兒 看 畢竟 是 三 太太 的 小孩 不過 寶灩 卻 樂 得 輕鬆 她 覺得 最 痛苦 的 時候 是
一二三,畢竟,她,的 船 好心 的 黃 老闆 好心 怎麼 可能 活 八千 年 俺 可是 深深 為 她 著迷 一二三 畢竟 她 可是 孟獲 哪 是 侍奉 兵主 蚩尤 遙祭 炎帝 的 九苗 巫 在 這 個 文明 的
學姊,畢竟,妳,實踐 最後 只 能 淪為 任 人 曲解 利用 的 小 工具 唉 其實 不 該 怪 小 學姊 畢竟 妳 又 年輕 還 未 成為 正式 法律人 不 知道 法律 可是 測 不 準 定率 理論 的
解約,畢竟,磁場,他 得 了 重感冒 屢次 勸導 無效 父親 與 她 吵 得 水火不容 最後 我 同意 她 提前 解約 畢竟 磁場 不 對 彼此 都 痛苦 臨行 前 我 送 她 紅包 及 一 大 袋 禮物 大庭廣眾
說,的確,很,一直 保持 現在 的 容貌 噢 自此 之後 時間 再 也 不會 數 你 的 皺紋 酒吧 老闆娘 說 的確 很 吸引人 那 男人 說 著 說 著 不經意 地 又 摸 起 下巴 的 短鬍 當然 我
情況,的確,會,透過 穿 棉質 襪子 以及 通風 透氣 的 鞋子 來 改善 此外 一般 手術 後 手 的 排汗 情況 的確 會 減少 但 會 變 得 很 乾 的 情況 應該 和 氣候 潮濕 或 乾熱 有關 也
時,的確,可能,會 變 得 很 乾 的 情況 應該 和 氣候 潮濕 或 乾熱 有關 也 就是 天氣 乾燥 時 的確 可能 感覺 手 很 乾燥 英特爾 執行長 貝瑞特 Craig RBarrett 在 昨日 的 英特爾 開發者 論壇 IDF 的
寶灩,總是,嘲笑,東漸 之後 男人 急急忙忙 把 辮 剁 了 卻 回頭 指稱 短髮 女人 留 的 是 尼姑頭 鴨屁股 寶灩 總是 嘲笑 他們 猴子 不過 斷 了 尾巴 就 自以為 成人 全 班 還 穿著 旗袍 長衫 的 時候
機靈,總是,想盡,紅 白 青 三 色 作 裝飾 這樣 清廷 就 分 不 出 誰 是 革命黨人 上海人 最 機靈 總是 想盡 各 種 辦法 解釋 由來 中秋 月餅 能 殺 韃子 端午 肉粽 能 救 屈原 不過 這
人們,總是,努力,遍體鱗傷 的 身子 鄉人儺 的 陣頭 大聲 吆喝 青幫 嘍囉 瀟灑 亮槍 報佳音 的 唱詩班 從 西天 走來 人們 總是 努力 想 把 自己 塞進 故事 搶 著 站上 舞台 即便 是 神 也 爭先恐後 掠取 信徒 的
個,總是,煙霧,看起來 就 像 某 一 個 專門 拍 軍教片 和 一些 二流 喜劇片 的 導演 常用 的 那 個 總是 煙霧 瀰漫 的 頹廢 酒吧 一樣 不 不 是 像 我 覺得 根本 就 是 但是 既然 都
殘缺,總是,來,臉 此 種 一百零一 種 正義 不 是 真正 的 正義 法律 裡 的 正義 永遠 是 傾斜 殘缺 總是 來 得 太 遲 又 令 人 無法 拒絕 法律 是 人類 最 低階 的 道德 依 目前
為什麼,總是,欺善懼惡,佳佳 趁隙 展示 自己 誠意 願意 給他 改過 不吝 的 機會 哼 女人 啊 女人 啊 女人 他們 為什麼 總是 欺善懼惡 當 真意 向善 的 罪人 立於 面前 即 擺出 第一 夫人 般 高貴 拒絕 的 眼眸 遇
曲線,總是,令,分裂 手法 很 爛 一點 也 沒用 女人 啊 我 爽 等於 他 爽 哼 呼 年輕 的 曲線 總是 令 人 亢奮 我 愛 一具具 女人 肉體 雖然 妳們 連 肉體 都 能 偽裝 和 造假 漂亮
說,總是,會,也 沒有 人 知道 他 是 做 什麼 的 對於 這 間 小 有 知名度 的 酒吧 來 說 總是 會 出現 一些 新 來到 的 陌生 客人 一 個 人 孤單 而 安靜 地 喝 著 酒
些,總是,好,就是 這麼 一 回 事 我 說 我 可以 再 考慮 一下 嗎 那 男人 說 當然 慎重 些 總是 好 的 不過 我 皺 了 一 下 眉頭 時間 是 寶貴 的 喲 呃 我 是 說
阿春,總是,擠,場 三千 元 有 必要 在 地上 打滾 時 並 沒有 加 錢 只 要不是 離家 太 遠 阿春 總是 擠 在 台下 人堆 裡 搶 著 第一 個 拍手 有時 掌筋 都 拍 紅 了 散 了
吃香喝辣,總是,一起,圓融 相處 讓 我 深感 頭痛 一 年 多 來 她 細心 照顧 父親 獲得 家人 一致 認同 吃香喝辣 總是 一起 隨行 直到 有 一 天 她 突然 有 了 手機 據說 是 泰勞 男友 送 的 開始
你,總是,要,離開 這 個 鬼地方 請 妳 相信 我 他 說 姑媽 又 說話 了 道歉 是 應該 的 你 總是 要 表現 誠意 才 對 他 往 前 推推 那 筆 錢 心想 這 不 是 誠意 又
應,有助於,風城,高達 十一萬多 人 顯示 玻工館 相當 有 賣點 如 以 玻工館 帶動 博物館群 結合 舊城 的 歷史 文物 應 有助於 風城 觀光 產業 的 發展 玻工館 在 九十年 舉辦 國際 玻璃 藝術節 當年 參觀 的 人次 共有 八五九一
