left_word,target_word,right_word,context
是,難得,一,思想 則 缺乏 有 系統 的 討論 印順 長老 的 著述 之多 而且 廣 在 世界 佛史 上 是 難得 一 見 的 但 他 既 不 是 為了 做 學問 而 著述 也 不 是 為了 生活
表現出,難得,的,以 一 個 小 羊 劇團 戲劇 發表會 劃上 句號 因為 孩子 在 這 次 的 演出 中 表現出 難得 的 自信 他們 很 肯定 地 告訴 老師 和 自己 我 做到 了 天主教 善牧 基金會 自 民國
很,難得,的,做 了 比較 研究 在 今天 有關 海德格 和 道元 的 哲學 文獻 中 這 是 一 篇 很 難得 的 比較 研究 尤其 值得 一 提 的 是 雖然 艾比 認為 海德格 和 道元 有 若干 類似
上,的確,可以,靈感 的 泉源 同時 包孕 了 藝術 創作 的 各 種 可能 姑且 不論 贊不贊同 這 點 歷史 上 的確 可以 找出 不少 例子 說明 書法家 們 從 自然 變化 當中 領悟到 運筆 的 技巧 從而 創作出 了
反之亦然,的確,海德格,理由 我們 也 可以 因此 知道 存在 本身 如何 形成 時間 的 深 一 層 來源 和 基礎 反之亦然 的確 海德格 就是 因為 看到 在 存在 和 時間 之間 有 互為 本體 基礎 的 特性 才 會 說
觀點,的確,有,以 瞭解 就是 開悟 這 個 理論 做 基礎 來 架構 他 對於 時間 和 空間 的 整體 觀點 的確 有 其 限制 但 我們 必須 再度 強調 禪宗 的 觀點 有助於 我們 瞭解 海德格 哲學 的 內在
日子,難免,仍然,相信 美國 的 爸爸 媽媽 一定 會 好好 的 照顧 和 疼惜 你 不過 不管 怎麼樣 將來 的 日子 難免 仍然 會 有 許多 的 挑戰 和 困難 難免 會 感到 孤單 和 挫折 不過 只要 你 記得
困難,難免,會,照顧 和 疼惜 你 不過 不管 怎麼樣 將來 的 日子 難免 仍然 會 有 許多 的 挑戰 和 困難 難免 會 感到 孤單 和 挫折 不過 只要 你 記得 在 太平洋 的 另外 一 岸 有 親生 媽媽
人,總是,會,基本 事實 無明 則 是 其 原因 而且 為了 克服 無常 和 苦 以 證得 寂靜 的 生活 人 總是 會 有 焦慮 這 種 觀察 的 起點 理論 和 實踐 或 世界 末日論 兼備 因此 一方面 就
他,總是,有,說 法 無 頓漸 人 有 利鈍 這 表示 不管 一 個 人 多 鈍 或 多 利 他 總是 有 開悟 的 方法 因為 他 的 自性 有 能力 開悟 從而 解脫 相 念 迷 執 的
卻,總是,無法,種 方式 希望 能 為 這 個 顛沛 大半 人生 的 孩子 尋求 一 個 永遠 的 依靠 卻 總是 無法 有 美好 的 結果 收養人 總是 嫌 阿智 年紀 大 嫌 阿智 不 夠 乖巧 嫌 失望
收養人,總是,嫌,顛沛 大半 人生 的 孩子 尋求 一 個 永遠 的 依靠 卻 總是 無法 有 美好 的 結果 收養人 總是 嫌 阿智 年紀 大 嫌 阿智 不 夠 乖巧 嫌 失望 挫敗 的 社工員 們 只好 另 尋
我們,總是,要,在 台灣 找到 新 的 爸爸 媽媽 我 真的 必須 要 去 那麼 遠 的 美國 嗎 但 我們 總是 要 好好 恭喜 阿智 終於 找到 永遠 的 家 和 依靠 了 我們 相信 美國 的 爸爸 媽媽
頂多,有助於,佛學,的 經部 再 加上 中土 僧眾 所 學 之 差異 使得 判教 更加 遠離 如來 說法 的 真相 頂多 有助於 佛學 知識 的 學習 但 也 因而 可能 遺忘 了 如來 設 教 說法 的 本懷 不 是
將,有助於,探討,並 不 想 做 不 必要 的 細節 說明 但 我 認為 我們 可以 做 如下 的 觀察 將 有助於 探討 海德格 有關 人類 存在 及 其 超越性 自我 覺悟 的 理論 跟 禪宗 的 悟 之間 到底
觀點,有助於,我們,對於 時間 和 空間 的 整體 觀點 的確 有 其 限制 但 我們 必須 再度 強調 禪宗 的 觀點 有助於 我們 瞭解 海德格 哲學 的 內在 結構 和 內在 目的 另一方面 我們 也 必須 堅持 我們 的 看法
方法論,有助於,悟,又 與 許多 世界 的 呈現 相容 七 在 慧能 的 禪法 裏 有 一 個 特殊 的 方法論 有助於 悟 的 證得 這 是 辯證 的 超越 和 包括 法 見於 壇經 第四十五 節 和 四十六 節
