left_word,target_word,right_word,context
茫然,畢竟,人,種 人 在 找 不 到 目標 找 不 到 自己 的 位置 看似 閒適 的 一 種 茫然 畢竟 人 要 在 時間 與 空間 中 找到 屬於 自己 的 一 個 點 有時 是 很 不
他,的確,已,長達 二三十 公尺 甚至 百 公尺 的 代表 作品 綜觀 朱邦雄 的 陶壁 作品 就 美學 造形 而言 他 的確 已 掌握 了 陶磁 藝術 的 材質 特性 他 那 漸進式 的 微妙 釉色 變化 自然 融合 與
這,的確,有助於,意旨 而 公眾 藝術 所 關心 的 也 正 是 百姓 大眾 的 根源 種族 以及 基本 土性 這 的確 有助於 我們 從 新 探討 文化 歷史 時 去 檢視 各 地域 人民 為 爭取 自由 正義 與
立法院,的確,沒有,他 記不得 但 這 三 案 國防部 不 買帳 所以 是 關說 非 施壓 他 說 第一 屆 立法院 的確 沒有 所謂 公聽會 但 有 邀請 專家 學者 與會 的 座談會 或 稱 協調會 簡又新 確實 曾 替
指數,的確,體重,答 讀者 的 身體 質量 指數 BMI 為 十七點五 根據 衛生署 最 新 發布 的 國人 身體 質量 指數 的確 體重 過 輕 但 體重 過 輕 不見得 與 甲狀腺 功能 亢進 有關 要 知道 自己 的 甲狀腺
時,難免,遭受,強調 警察 的 職責 就是 保護 人民 生命 財產 的 安全 隨著 民眾 需求 的 增加 執行 公務 時 難免 遭受 抱怨 批評 因此 游院長 特別 呼籲 全體 警察 同仁 只要 我們 的 目標 正確 堅守 崗位 戮力
也,難免,演出,圓頂 的 鼓形環 都 已 大致 完成 民以食為天 外食 會 吃壞 肚子 上 超商 賣場 買 包裝 食品 也 難免 演出 驚魂記 最近 的 例子 是 關東煮 的 玉米 吃 到 一半 有 蟲蟲 便當 沙拉 餿掉 有
投料,難免,眼花,放 或 多 放 油包 或 粉包 是 10 年 前 速食麵 常見 的 瑕疵 原因 是 人工 投料 難免 眼花 或是 跟不上 速度 結果 維力 公司 改為 機器 執行 降低 出錯 機率 目前 幾 家 大廠 如
作品,總是,讓,都 是 分割 燒成 再 接合 主要 的 原因 還是 出於 設備 的 簡陋 窯爐 太 小 而 作品 總是 讓 人 有 易 碎 的 感覺 這 就 關係到 燒火 的 溫度 與 陶土 的 問題 這
年輕人,總是,接下,只 賣 澳門幣 3 塊 錢 都 是 幾 代 相傳 的 好 手藝 雖然 賺不了 大錢 但是 年輕人 總是 接下 了 前人 的 祖傳秘方 一樣 站 在 發跡 的 街頭 叫賣 著 這樣 百 年 不變 的
的確,有助於,我們,而 公眾 藝術 所 關心 的 也 正 是 百姓 大眾 的 根源 種族 以及 基本 土性 這 的確 有助於 我們 從 新 探討 文化 歷史 時 去 檢視 各 地域 人民 為 爭取 自由 正義 與 認同
也,有助於,企業,改善 投資 環境 中央 也 應 給予 獎助 以為 鼓勵 如此 不僅 能 改善 地方 財政 的 問題 也 有助於 企業 持續 投資 的 意願 對於 歐洲 央行 昨日 宣佈 降息 一 碼 中央 銀行 高層 官員 表示
