left_word,target_word,right_word,context
很,難得,一,我 覺得 白先勇 很 像 一 種 精靈 只是 軀殼 老 了 裡面 還是 很 有 生命力 這 很 難得 一 個 人 可以 如此 返璞歸真 最 喜歡 諾貝爾 文學獎 得主 威廉 高汀 作品 蒼蠅王 的 范植偉 說
她,難得,展現,清純 玉女 也 不 是 波霸 辣妹 但 細細 的 鳳眼 自有 風格 應 GQ 雜誌 之 邀 她 難得 展現 成熟 一 面 為了 不 辜負 美麗 華服 特別 準備 了 魔術 胸墊 好 撐出 曲線 是否
承認,的確,有,新 節目 與 台視 由 王仁甫 主持 的 少年 兵團 行成 情敵 對打 的 局面 對 此 康康 承認 的確 有 向 郭 老闆 提議 過 小鍾 則 說 是 大夥 起 的 鬨 不過 小鍾 表示 與
溫翠蘋,的確,有,一起 搭機 去 新加坡 溫翠蘋 笑道 並 沒有 去 如果 去 的話 現在 就 跟著 他 吃香喝辣 囉 溫翠蘋 的確 有 這樣 的 條件 昨天 她 跳舞 到 最後 的 一 個 姿勢 整個 人 的 重心 倚
Peng,的確,從來,跟 中國 友人 膩 在一塊 他 告訴 我 英國人 很 冷淡 所以 他 不 想 跟 英國佬 打交道 Peng 的確 從來 沒有 在 我們 的 flat 煮 過 飯 我 偶爾 在 深夜 看過 他 回來 洗澡 我
約出去,的確,就,女孩子 會 聊東聊西 不過 我們 常常 會 看 對方 的 演出 然後 互相 給 意見 平常 也 會 約出去 的確 就 像 兄弟 一樣 李威 是 當紅 炸子雞 但 在 大毛 眼 中 就 只 是 一塊 出道
也,總是,奉獻,教育局 為 學校 尋覓 適合 人選 替 教育局 解決 萬 年 校長 及 不 適任 校長 的 弊病 也 總是 奉獻 付出 必要 時 還要 當 壞人 去 協助 解決 教育 的 問題 就算 部分 遴選 校長 做
地,總是,將,不會 將 教師 工程師 等 受雇 者 包含 於 其中 同時 無論 是 有 意識 或 無 意識 地 總是 將 膚色 和 職業 等級 劃上 等號 認定 膚色 較 黑 者 必然 從事 著 較為 低下 的
最後,總是,落空,STATION 這 二 年 來 該 節目 主持人 塔摩利 不斷 透過 管道 希望 宇多田 能 上 節目 但 最後 總是 落空 終於 在 今年 宇多田 將 首次 螢光幕 曝光 獻給 了 主持人 塔摩利 也 圓 了 觀眾 的
誰,總是,在,有 校長 是 因 畏懼 遴選 而 退休 不過 仔細 想想 在 現今 的 校園 環境 中 是 誰 總是 在 校園 事務 上 與 校長 產生 不同 意見 使得 校長 不 想 繼續 留在 教育 崗位 希望
