left_word,target_word,right_word,context
車,畢竟,我們,而 受到 如此 禮遇 相待 我 可能 也 會 和 玫琳凱 一樣 十分 感動 地 下 訂單 買 車 畢竟 我們 都 希望 被 重視 而 不 喜歡 被 當成 空氣 啊 曾 有 一 位 長 得
時候,畢竟,人腦,你 其實 人 難免 會 有 突然 想 不 起 某 件 事 或 某 個 人 的 時候 畢竟 人腦 不 是 電腦 無法 清楚 記得 每 件 事情 不過 木 賣 實心 人 貴 虛心 知
呢,畢竟,女人,件 事 上 我 也 不得不 多少 讚同 梅蕙絲 的 看法 她 說 這 又 有 什麼 關係 呢 畢竟 女人 自己 也 這麼 做 了 好多 年 了 嘛 1930年 李歐波德史托考斯基 Leopold Stokowski 美國 指揮家 邀 我
朋友,畢竟,你,還 是 抱歉 或許 我 根本 不應該 出現 在 你 的 世界 然而 我 仍舊 希望 我們 是 朋友 畢竟 你 是 唯一 瞭解 過 我 的 女人 我 天真 地 以為 分手 之後 就 可以 讓 嫉妒
他,畢竟,是,立場 來 說 我 寧願 不要 說 什麼 會 傷害 他 的 話 在 這 個 行業 裡 他 畢竟 是 個 比 我 老 得多 的 人 這 並 不 是 柏奈斯 首度 被 開除 也 不
的,畢竟,我們,放出去 直到 最後 就 連 他 自己 也 無從 分辨 哪些 是 事實 而 哪些 是 胡謅 出來 的 畢竟 我們 所 講 的 這 個 人 是 想出 點子 讓 小孩 把 肥皂 雕刻成 藝術 作品 也
我,畢竟,還是,鼓起 勇氣 是 誇張 了 但 真的 我 打 那 通 電話 真的 是 需要 一點點 勇氣 可是 我 畢竟 還是 約 她 出來 了 不 是 用 電話 喔 是 當面 對 她 說 的 真的 啦
人,的確,戶頭,時 我 必須 先 說 鎮遠 戶頭 裡面 的 錢 以 鎮遠 當時 還 是 二十 歲 的 人 的確 戶頭 裡面 的 錢 都 是 家屬 的 所以 我 才 會 說 是 長輩 給 的 對
講出來,的確,非常,因 還 涉及 國民黨 的 家務事 所以 我 才 思考 再三 把 照顧 經國 先生 家屬 的 家務事 講出來 的確 非常 傷感情 當年 我 與 李 先生 的 關係 外界 形容 是 形同 父子 深受 信任 楚瑜 至今
溝通,的確,眼光,是 虛情假意 敷衍 了事 根本 沒有 真心誠意 所以 有 人 說 沒有 眼光 對視 就 沒有 所謂 的 溝通 的確 眼光 的 對視 真心 的 對話 才 會 使 對方 覺得 受到 尊重 自尊 的 需求 才 能
