left_word,target_word,right_word,context
十分,難得,的,卻 表示 不同 的 意見 他 認為 建成 圓環 提供 台北 北區 都市 發展 和 空間 證據 具有 十分 難得 的 歷史 魅力 尤其 建成 圓環 是 臺北 市區 中 唯一 的 正 圓形 十分 值得 玩味 至於
年,難得,一,哪 一 班 那 就 是 五年甲班 說起 本 班 無不 嘖嘖稱奇 文武全才 樣樣 有 真 是 百 年 難得 一 見 每 次 在 運動場 上 最 出風頭 的 就 是 巫嘉展 他 為 我們 班 不
非常,難得,本報訊,全 程 奪得 兒童組 第一 名 只 比 成人組 第一 名 的 日川敏彥 慢 一 分 多 鐘 非常 難得 本報訊 新店 的 文山 農場 昨天 好 熱鬧 小朋友 和 爸爸 媽媽 不但 自己 動手 採茶 製茶 喝
似乎,難得,一,都 會 受到 成群 沙魚 的 攻擊 呢 你 看 過 流星 嗎 流星 劃過 夜空 的 美景 似乎 難得 一 見 其實 你 知道 嗎 在 地球 上 不管 是 夏天 或是 冬天 白天 或是 晚上 都
十分,難得,詹益松,字 大 字 少 比較 適合 身心 發展 因為 像 孫伶嬉 這樣 年幼 而 技巧 高超 的 畢竟 十分 難得 詹益松 的 字 筆法 雖然 稚拙 但 格局 安排 和 墨韻 都 顯得 自然 純樸 李孟娟 小朋友 的
聽,畢竟,那,的 心情 轉為 振奮 啊 就 是 再 嘮叨 再 令 我 難堪 的 話語 我 都 願意 聽 畢竟 那 曾 是 我 失意 時 最 令 我 感到 安慰 最 能 激發 我 的 信心 的
的,畢竟,十分,小朋友 以 字 大 字 少 比較 適合 身心 發展 因為 像 孫伶嬉 這樣 年幼 而 技巧 高超 的 畢竟 十分 難得 詹益松 的 字 筆法 雖然 稚拙 但 格局 安排 和 墨韻 都 顯得 自然 純樸 李孟娟
符號,的確,不,ㄥ ㄣ 要求 初 入學 的 孩子 既 要 會 記 會 寫 又 要 會 用 這些 符號 的確 不 是 一 件 容易 的 事 在 加上 注音 符號 對 一般 的 成人 來 講 早
它,的確,是,特殊 的 沙岸 地形 不但 沙灘 潔淨 風景 也 十分 宜人 和 附近 的 岩岸 地形 比較 起來 它 的確 是 個 引人注目 的 焦點 小朋友 可以 從 示意圖 上 看出 福隆 的 沙嘴 地形 這 種 地形
陪,的確,達到,的 一 項 昨天 有 將近 兩百 位 大小朋友 參加 而且 每 位 小朋友 都 有 爸爸 媽媽 陪 的確 達到 親子 同 樂 的 目的 昨天 的 活動 深受 小朋友 歡迎 像 就 要 升 國小 一年級
未來,的確,是,喜歡 利用 說話課 或 課餘 時間 讓 小朋友 面對 這些 未來 問題 正 所謂 把握 現在 創造 未來 未來 的確 是 可以 造就 培育 的 只要 能 發掘出 他 的 優越 潛能 給 他 有利 的 環境 再
捉弄,的確,夠,一定 是 編輯 先生 看 稿 看 得 迷糊 了 或是 瞎 了 眼睛 了 嘿 這 個 捉弄 的確 夠 毒 夠 狠 了 然而 學生 既然 敢 當面 對 我 說出 心 裡 的 話 表示
他,總是,倒數,最 慢 的 了 速度 之 慢 連 烏龜 也 跑 得 比 他 快 每 次 賽跑 他 總是 倒數 第一 名 再 也 沒有 跑 得 比 他 慢 的 人 所以 他 的 太空 漫步
什麼,總是,希望,的 里程碑 緊張 的 是 在 這 個 成長點 上 我們 有 沒 有 疏漏 或 遺忘 了 什麼 總是 希望 給 孩子 什麼 都 是 最好 最 完整 的 特別 是 我們 愛 孩子 恭喜 你 幼稚園
活動,總是,多數,的 時間 仍 是 待 在 家 裡 因此 打 電動 玩具 看 卡通 影片 看 漫畫書 等 活動 總是 多數 小朋友 消暑 的 休閒 方式 而 很少 人 會 以 每 天 讀書 的 方式 度 暑假
