left_word,target_word,right_word,context
作業,畢竟,非,局長 並 表示 現行 汽車 考照 電腦化 固然 可以 避免 人情 關說 的 現象 但 完全 依賴 機器 作業 畢竟 非 良方 他 認為 也 可 從 增加 考照 場地數 和 加強 主考官 素質 鑑定 兩 方向 加強
人,的確,有,年 前 我 看到 報紙 分類 廣告 有 位 尿毒 患者 登報 尋 腎 因此 我 了解 某些 人 的確 有 求 腎 的 需求 所以 才 想到 要 從事 這 項 仲介 服務 答 我 從未 登
過去,的確,有,缺乏 保護 森林 的 心態 針對 這 一 點 農委會 森林科 科長 陳溪洲 昨天 鄭重 表示 林務 單位 過去 的確 有 邀請 軍方 進行 聯合 救火 的 紀錄 他 說 民國 六十年代 林務局 曾 央請 國防部 出動 一一九
罷駛,的確,來自,理性 原則 和 市政府 甚至 公車 業者 進行 溝通 他 指出 至於 有 熱心 司機 打電話 來 表示 罷駛 的確 來自 老板 唆使 消基會 也 握有 錄音 存證 絕不 是 空口無憑 對於 外界 的 指控 消基會 並 不
方式,難免,受,人民 處理 政府 所 持 理由 係 假設 台灣 同胞 在 定居 大陸 期間 其 思想 及 生活 方式 難免 受 共產 制度 影響 若 任由 出入 台灣 地區 可能 有 危害 國家 安全 及 社會 安定 之
掌聲,難免,受不了,第二 位 這 和 他們 長期 生活 在 掌聲 中 有關 如果 一 離開 舞台 聽 不 到 掌聲 難免 受不了 而 輕生 但 作家 等 文藝 工作 者 是否 較 感性 或 多愁善感 較 有 自殺 傾向
隊,總是,習慣性,擎天 一 柱 後衛 固然 是 一時之選 可是 沒有 有效 的 支援 從 歷史 上 看 這 個 隊 總是 習慣性 的 在 最後 關頭 差 一 口 氣 因此 和 波士頓 一樣 也 將 自亂腳步 而 落敗
學生,有助於,學生,階段 考試 的 校長 教授 強調 兩 階段 考試 具 選擇性 學生 可以 選 校 學校 可以 選 學生 有助於 學生 提早 認識 生涯 發展 況且 第二 階段 考試 訂 七月 初 舉行 不會 延長 考生 現有 聯考
將,有助於,改善,很 嚴重 浪費 醫療 資源 一 位 農民 立委 指出 這些 弊病 應 先 予 檢討 提出 對策 將 有助於 改善 農保 財務 結構 加上 政府 計畫 在 八十四年 開辦 全民健保 因而 目前 還是 維持 現行 農保 費率
確實,有助於,兼顧,著重 智育 學科 但 第一 階段 考試 涵蓋 自然 社會 學科 且 以 淺顯 測驗題 為 命題 方式 確實 有助於 兼顧 各 科 學習 第二 階段 考試 由 各 校 系 自訂 一 至 二 科 特殊 科目
