left_word,target_word,right_word,context
時,難得,的,真的 好 感動 老師 的 認真 和 展現 而 孩子 的 臉頰 上 似乎 涵詠 著 過去 開學 時 難得 的 歡欣 與 沉靜 似 深 似 遂 註冊站 一 音樂組 這 個 學期 的 主題 是 藝術
這,難得,的,當代 雕塑史 美術館 不惜 巨資 將 國外 著名 的 展覽 引介 至 國內 使 台灣 民眾 可以 在 這 難得 的 機會 中 親 賭 許多 西方 著名 雕塑 大師 的 作品 從 這樣 的 展覽 安排 可以
個,難得,的,深邃 的 美目 彩虹 般 橫跨 到 我 那裡 淡然 自若 說 單傑 聖士 今 次 是 一 個 難得 的 好 機會 希望 你 能 好好 把握 更 上 一 層 樓 的 名譽 地位 和 權力
是,難得,的,輪廓 精致 分明 皮膚 細嫩 身材 均勻 纖長 雖 未 能 如 準慧 那麼 奪 人 心神 也 是 難得 的 美女 嘗 聞 元帥 從 各 地 徵召 一 批 出眾 的 美女 來 作 對 有功
最,難得,的,我 也 可 助 完成 夢想 厲時 轉向 我 道 聖士 這 是 你 畢生 為 聯邦 出力 最 難得 的 機會 是 好 是 壞 全 看 你 的 了 第三 章 逃亡 黃昏 時分 夕陽 在
而且,難得,的,不會 想要 做 其實不然 筆者 認為 趁 年輕 有 衝力 時 可以 從事 勞力 工作 是 個 不錯 而且 難得 的 經驗 況且 這 只 是 短暫 的 打工 性質 又 不 是 叫 你 一輩子 做 搬家
人,畢竟,是,批判 還 不 夠 對 日本 的 歷史 問題 也 要 實事求是 要 看 主流 美化 軍國主義 的 人 畢竟 是 少數 江 主席 的 這 次 訪 日 雖然 氣氛 不 是 很 融洽 但是 除了 歷史
日本,畢竟,是,對 中 日 兩 國 是 一 個 大 問題 而且 還 涉及到 整個 亞太 地區 的 穩定 日本 畢竟 是 一 個 經濟 大國 中國 應該 和 日本 合作 來 解決 亞洲 地區 的 一 系列 重大
但,畢竟,有,人民 的 願望 儘管 雙方 在 一些 問題 上 沒 能 取得 共識 共同 宣言 也 沒有 簽署 但 畢竟 有 前進 還是 富於 積極 成果 的 從 日本 國內 情況 來 看 日本 在 侵 華 戰爭
方式,畢竟,還,因為 老師 雖 有 這樣 的 理想 也 經常 鼓勵 孩子 發表 意見 但 孩子 對 這樣 的 方式 畢竟 還 不 習慣 所以 目前 還是 經常 由 老師 帶領 孩子 探討 思想 上 的 問題 寫作 課
因為,畢竟,每,在 創會 之初 就 知道 是 不錯 的 但是 在 實踐 上 總 以為 會 有 一些 落差 因為 畢竟 每 個 人 都 是 在 體制 內 成長 過來 的 對 人 有 過 大 的 期待
能力,畢竟,如果,小孩 更 有 理性 若 真是 如此 則 教育 的 過程 的 焦點 應 放 在 增進 思考 能力 畢竟 如果 以 倡導 文學 的 觀點 下 要 教導 小孩 閱讀 與 寫作 以 倡導 哲學 的 觀點
小說,畢竟,是,有 梅爾維爾 James6000600060006000600060006000 Melville 專文 討論 這樣一來 就 有 著 濃厚 的 世代 傳承 的 意味 了 推理 小說 畢竟 是 有 歷史 有 傳統 的 呢 想想 看 一百 位 神探 真 可謂 濟濟多士 而 我 心目中
看法,畢竟,如,出版商 作為 聖誕節 特刊 然而 心智 高尚 的 人 們 包括 你我 應該 忽視 這 個 諷世 的 看法 畢竟 如 科幻 小說家 艾西莫夫 Isaac Asimov 之流 的 大師 會 為了 媚俗 或 錢財 去 寫 應景 的
