sentence,sentence_preprocessed,sentence_length,word_freq,high_low_freq,word_level,long_word_count,is_complete_sentence,is_complete_context,is_blacklist,is_greylist
配合李總統明示，今年五月宣告終止動員戡亂時期，教育部將於二月八日召集交通。,配合 李 總統 明示 今年 五月 宣告 終止 動員 戡亂 時期 教育部 將 於 二月 八日 召集 交通,18,配合(17173) 李(17994) 總統(23662) 明示(585) 今年(10836) 五月(15682) 宣告(4605) 終止(2604) 動員(3827) 戡亂(62) 時期(47839) 教育部(3240) 將(448374) 於(327210) 二月(12791) 八日(3536) 召集(4315) 交通(11639),"{'High': 17, 'Low': 1}","{'第4*級': 2, 'Unknown': 6, '第4級': 1, '第1級': 1, '第6級': 3, '第5級': 4, '第3級': 1}",1,Y,N,N,Y
內政。,內政,1,內政(1132),{'High': 1},{'第7級': 1},0,N,N,N,N
國防三部針對中小學地理教科書內容修訂進行討論，至於外蒙古是否納入我國地理地圖版圖中？,國防 三 部 針對 中小學 地理 教科書 內容 修訂 進行 討論 至於 外蒙古 是否 納入 我國 地理 地圖 版圖 中,20,國防(2717) 三(313861) 部(71567) 針對(23174) 中小學(1083) 地理(7072) 教科書(3622) 內容(55074) 修訂(2313) 進行(100298) 討論(59041) 至於(39363) 外蒙古(250) 是否(78907) 納入(5488) 我國(7225) 地理(7072) 地圖(10218) 版圖(1892) 中(1011729),{'High': 20},"{'第6級': 4, '第1級': 1, '第2級': 1, 'Unknown': 4, '第4*級': 2, '第4級': 1, '第5級': 4, '第3*級': 1, '第2*級': 1, '第7級': 1}",3,Y,N,N,N
教育部及國立編譯館皆表示，將視國家政策而定。,教育部 及 國立 編譯館 皆 表示 將 視 國家 政策 而 定,12,教育部(3240) 及(304586) 國立(5098) 編譯館(138) 皆(45736) 表示(74452) 將(448374) 視(15590) 國家(109166) 政策(30965) 而(937923) 定(18743),{'High': 12},"{'第5級': 6, 'Unknown': 2, '第4*級': 2, '第6級': 1, '第1*級': 1}",2,Y,Y,N,N
國立編譯館館長曾濟群昨天表示，教育部長毛高文近日相當關切動員戡亂時期終止後，教科書應以何種編寫方式敘述大陸現況，因此將於二月八日由政務次長趙金祁主持，邀集交通部。,國立 編譯館 館長 曾濟群 昨天 表示 教育部長 毛高文 近日 相當 關切 動員 戡亂 時期 終止 後 教科書 應 以 何 種 編寫 方式 敘述 大陸 現況 因此 將 於 二月 八日 由 政務次長 趙金祁 主持 邀集 交通部,37,國立(5098) 編譯館(138) 館長(1234) 曾濟群(2) 昨天(12735) 表示(74452) 教育部長(521) 毛高文(14) 近日(1497) 相當(66293) 關切(3828) 動員(3827) 戡亂(62) 時期(47839) 終止(2604) 後(422857) 教科書(3622) 應(82417) 以(547785) 何(46992) 種(701563) 編寫(1962) 方式(133407) 敘述(14551) 大陸(27031) 現況(2710) 因此(184606) 將(448374) 於(327210) 二月(12791) 八日(3536) 由(208604) 政務次長(107) 趙金祁(1) 主持(9827) 邀集(426) 交通部(506),"{'High': 33, 'Low': 4}","{'第5級': 5, 'Unknown': 16, '第1級': 2, '第4*級': 5, '第3級': 1, '第6級': 7, '第3*級': 1}",8,Y,Y,N,Y
內政部與國防部等相關單位開會討論，並將討論結果報請大陸工作會報做最後裁示，新編的中小學地理教材，將於八十學年度啟用。,內政部 與 國防部 等 相關 單位 開會 討論 並 將 討論 結果 報請 大陸 工作 會報 做 最後 裁示 新編 的 中小學 地理 教材 將 於 八十學年度 啟用,28,內政部(1075) 與(968432) 國防部(1693) 等(327380) 相關(41599) 單位(23148) 開會(6368) 討論(59041) 並(442790) 將(448374) 討論(59041) 結果(114008) 報請(284) 大陸(27031) 工作(220164) 會報(486) 做(411649) 最後(142102) 裁示(146) 新編(351) 的(16029838) 中小學(1083) 地理(7072) 教材(4132) 將(448374) 於(327210) 八十學年度(1) 啟用(917),"{'High': 27, 'Low': 1}","{'Unknown': 8, '第4*級': 4, '第3*級': 6, '第5級': 5, '第1級': 3, '第2級': 1, '第7級': 1}",4,Y,Y,N,N
曾濟群指出，教科書上有關大陸地區鐵公路名稱係根據交通部審議決定，地名則依內政部所編地圖而定，因此於更改前須邀集這些單位開會研究。,曾濟群 指出 教科書 上 有關 大陸 地區 鐵公路 名稱 係 根據 交通部 審議 決定 地名 則 依 內政部 所 編 地圖 而 定 因此 於 更改 前 須 邀集 這些 單位 開會 研究,33,曾濟群(2) 指出(38456) 教科書(3622) 上(1233218) 有關(69607) 大陸(27031) 地區(40339) 鐵公路(25) 名稱(11922) 係(9477) 根據(51908) 交通部(506) 審議(1267) 決定(101837) 地名(2920) 則(254096) 依(37519) 內政部(1075) 所(527327) 編(15840) 地圖(10218) 而(937923) 定(18743) 因此(184606) 於(327210) 更改(1894) 前(272709) 須(17260) 邀集(426) 這些(315113) 單位(23148) 開會(6368) 研究(182500),"{'Low': 2, 'High': 31}","{'Unknown': 10, '第6級': 2, '第1級': 2, '第4級': 2, '第3*級': 2, '第4*級': 4, '第7級': 1, '第2級': 2, '第5級': 5, '第2*級': 1, '第3級': 2}",5,Y,Y,N,Y
他並表示，動員戡亂時期終止後，兩岸關係將邁入另一境界，目前政府對中共認定傾向於政治實體，大陸地區則認定為中共統治地區，這種看法的轉變，必須反映在教科書上。,他 並 表示 動員 戡亂 時期 終止 後 兩岸 關係 將 邁入 另 一 境界 目前 政府 對 中共 認定 傾向 於 政治 實體 大陸 地區 則 認定為 中共 統治 地區 這 種 看法 的 轉變 必須 反映 在 教科書 上,41,他(2487930) 並(442790) 表示(74452) 動員(3827) 戡亂(62) 時期(47839) 終止(2604) 後(422857) 兩岸(6984) 關係(162883) 將(448374) 邁入(1056) 另(138369) 一(3701681) 境界(11829) 目前(48695) 政府(92663) 對(897964) 中共(19399) 認定(10029) 傾向(14029) 於(327210) 政治(79504) 實體(4722) 大陸(27031) 地區(40339) 則(254096) 認定為(549) 中共(19399) 統治(19436) 地區(40339) 這(2114032) 種(701563) 看法(30115) 的(16029838) 轉變(11746) 必須(170592) 反映(14525) 在(3284238) 教科書(3622) 上(1233218),"{'High': 40, 'Low': 1}","{'第1級': 7, '第4*級': 3, '第6級': 6, 'Unknown': 7, '第3級': 3, '第5級': 7, '第4級': 5, '第3*級': 2, '第1*級': 1}",2,Y,Y,N,Y
至於修訂方式是否採事實認定原則？,至於 修訂 方式 是否 採 事實 認定 原則,8,至於(39363) 修訂(2313) 方式(133407) 是否(78907) 採(8996) 事實(84995) 認定(10029) 原則(31148),{'High': 8},"{'第5級': 3, '第6級': 1, '第4*級': 3, '第4級': 1}",0,Y,N,N,N
以及備受爭議的行政區域及外蒙古問題，教育部中教司及國立編譯館均表示，目前尚未有明確決定，一切將待國家政策考量而定。,以及 備受 爭議 的 行政 區域 及 外蒙古 問題 教育部 中教司 及 國立 編譯館 均 表示 目前 尚未 有 明確 決定 一切 將 待 國家 政策 考量 而 定,29,以及(155624) 備受(3188) 爭議(7127) 的(16029838) 行政(15666) 區域(14982) 及(304586) 外蒙古(250) 問題(280782) 教育部(3240) 中教司(1) 及(304586) 國立(5098) 編譯館(138) 均(27783) 表示(74452) 目前(48695) 尚未(16593) 有(2217079) 明確(17292) 決定(101837) 一切(95523) 將(448374) 待(32599) 國家(109166) 政策(30965) 考量(9481) 而(937923) 定(18743),"{'High': 28, 'Low': 1}","{'第5級': 12, '第6級': 2, '第1級': 3, '第4*級': 3, 'Unknown': 5, '第4級': 1, '第2級': 1, '第3*級': 1, '第1*級': 1}",4,Y,Y,N,N
