sentence,sentence_preprocessed,sentence_length,word_freq,high_low_freq,word_level,long_word_count,is_complete_sentence,is_complete_context,is_blacklist,is_greylist
星夜‧南市東光國小四十六班.李胤慧.在一個涼風輕拂的夜晚，我與媽媽坐在曾經陪伴爺爺度過蒼蒼歲月的搖椅，在充滿茉莉花香的小庭院裡乘涼。,星夜 南市 東光 國小 四十六班 李胤慧 在 一 個 涼風 輕拂 的 夜晚 我 與 媽媽 坐 在 曾經 陪伴 爺爺 度過 蒼蒼 歲月 的 搖椅 在 充滿 茉莉 花香 的 小 庭院 裡 乘涼,35,星夜(270) 南市(117) 東光(31) 國小(4760) 四十六班(Unknown) 李胤慧(Unknown) 在(3284238) 一(3701681) 個(2296574) 涼風(759) 輕拂(140) 的(16029838) 夜晚(9758) 我(3033032) 與(968432) 媽媽(70492) 坐(93873) 在(3284238) 曾經(52970) 陪伴(6246) 爺爺(8572) 度過(9438) 蒼蒼(279) 歲月(8803) 的(16029838) 搖椅(566) 在(3284238) 充滿(43990) 茉莉(1198) 花香(850) 的(16029838) 小(318835) 庭院(3541) 裡(520435) 乘涼(522),"{'High': 32, 'Low': 3}","{'Unknown': 11, '第3*級': 2, '第1*級': 4, '第1級': 9, '第4*級': 3, '第4級': 1, '第5級': 3, '第2*級': 1, '第7級': 1}",2,Y,Y,N,Y
我抬頭望望天空，是個晴朗的夜色，滿天的星星閃耀不已，像一群群小精靈，正眨著明亮的眼睛，對我訴說千古以來的故事，有歡樂，有悲哀，以及許多人無法懂的複雜人生。,我 抬頭 望望 天空 是 個 晴朗 的 夜色 滿 天 的 星星 閃耀 不已 像 一群群 小 精靈 正 眨 著 明亮 的 眼睛 對 我 訴說 千古 以來 的 故事 有 歡樂 有 悲哀 以及 許多 人 無法 懂 的 複雜 人生,44,我(3033032) 抬頭(8747) 望望(808) 天空(16342) 是(4642407) 個(2296574) 晴朗(1420) 的(16029838) 夜色(2001) 滿(46727) 天(330413) 的(16029838) 星星(5246) 閃耀(1906) 不已(11973) 像(289494) 一群群(318) 小(318835) 精靈(3737) 正(179334) 眨(2691) 著(1004687) 明亮(6023) 的(16029838) 眼睛(65022) 對(897964) 我(3033032) 訴說(3460) 千古(2566) 以來(26654) 的(16029838) 故事(101316) 有(2217079) 歡樂(6016) 有(2217079) 悲哀(5068) 以及(155624) 許多(159791) 人(1550512) 無法(150606) 懂(32301) 的(16029838) 複雜(29761) 人生(69234),{'High': 44},"{'第1級': 15, '第5級': 7, 'Unknown': 4, '第4*級': 3, '第6級': 5, '第3級': 1, '第3*級': 3, '第1*級': 3, '第7級': 1, '第2級': 1, '第4級': 1}",1,Y,Y,N,N
它又像慈母的眼睛，正散發著一絲絲光芒，帶給灰心喪志的人希望，帶給孤兒溫暖，也帶給許多人莫名的幻想。,它 又 像 慈母 的 眼睛 正 散發 著 一絲絲 光芒 帶給 灰心 喪志 的 人 希望 帶給 孤兒 溫暖 也 帶給 許多 人 莫名 的 幻想,27,它(316854) 又(535555) 像(289494) 慈母(507) 的(16029838) 眼睛(65022) 正(179334) 散發(3603) 著(1004687) 一絲絲(553) 光芒(6405) 帶給(9682) 灰心(1219) 喪志(281) 的(16029838) 人(1550512) 希望(119975) 帶給(9682) 孤兒(3317) 溫暖(12109) 也(1590760) 帶給(9682) 許多(159791) 人(1550512) 莫名(3334) 的(16029838) 幻想(10417),{'High': 27},"{'第1*級': 4, '第7級': 1, '第1級': 6, '第3*級': 2, '第5級': 4, 'Unknown': 6, '第6級': 2, '第2級': 1, '第4級': 1}",1,Y,N,N,N
童年，一直有個摘星的願望，但媽媽說：如果把星星摘下來，它只是一顆隕石罷了，不如讓它在夜幕低垂的長空裡閃耀，讓全世界一起欣賞它的美。,童年 一直 有 個 摘 星 的 願望 但 媽媽 說 如果 把 星星 摘下來 它 只 是 一 顆 隕石 罷了 不如 讓 它 在 夜幕 低垂 的 長空 裡 閃耀 讓 全 世界 一起 欣賞 它 的 美,40,童年(10874) 一直(119877) 有(2217079) 個(2296574) 摘(3532) 星(6819) 的(16029838) 願望(7147) 但(597124) 媽媽(70492) 說(1285247) 如果(322121) 把(617773) 星星(5246) 摘下來(368) 它(316854) 只(436725) 是(4642407) 一(3701681) 顆(32006) 隕石(572) 罷了(11122) 不如(21722) 讓(526314) 它(316854) 在(3284238) 夜幕(2105) 低垂(1134) 的(16029838) 長空(257) 裡(520435) 閃耀(1906) 讓(526314) 全(178642) 世界(165235) 一起(79297) 欣賞(17817) 它(316854) 的(16029838) 美(53380),{'High': 40},"{'第4*級': 2, '第2級': 8, '第1級': 10, '第5級': 2, 'Unknown': 4, '第4級': 2, '第3*級': 1, '第1*級': 7, '第3級': 1, '第7級': 2, '第6級': 1}",1,Y,Y,N,N
從那時候起，我愛數星星。,從 那 時候 起 我 愛 數 星星,8,從(496546) 那(754138) 時候(199970) 起(96746) 我(3033032) 愛(124337) 數(38654) 星星(5246),{'High': 8},"{'第1*級': 1, '第1級': 4, '第3*級': 3}",0,Y,N,N,N
而今，天上有無數的點點繁星，使我激起了數星星的慾望。,而今 天 上 有 無數 的 點點 繁星 使 我 激起 了 數 星星 的 慾望,16,而今(3331) 天(330413) 上(1233218) 有(2217079) 無數(12002) 的(16029838) 點點(1652) 繁星(592) 使(197544) 我(3033032) 激起(3894) 了(3199291) 數(38654) 星星(5246) 的(16029838) 慾望(9645),{'High': 16},"{'Unknown': 3, '第1級': 6, '第5級': 3, '第7級': 1, '第6級': 1, '第3*級': 2}",0,Y,N,N,N
一顆、二顆、三顆、四顆十三顆、十四顆，哇！,一 顆 二 顆 三 顆 四 顆 十三 顆 十四 顆 哇,13,一(3701681) 顆(32006) 二(152494) 顆(32006) 三(313861) 顆(32006) 四(141667) 顆(32006) 十三(9810) 顆(32006) 十四(9837) 顆(32006) 哇(7634),{'High': 13},"{'第1級': 4, '第3級': 7, 'Unknown': 2}",0,N,N,N,N
我數完了，真棒！,我 數完 了 真 棒,5,我(3033032) 數完(71) 了(3199291) 真(137497) 棒(16112),"{'High': 4, 'Low': 1}","{'第1級': 1, 'Unknown': 2, '第1*級': 1, '第2級': 1}",0,Y,N,N,N
從前每次數星星，從來沒有比這次更順利的！,從前 每 次 數 星星 從來 沒有 比 這 次 更 順利 的,13,從前(12248) 每(333357) 次(331701) 數(38654) 星星(5246) 從來(35243) 沒有(594280) 比(170486) 這(2114032) 次(331701) 更(361676) 順利(17708) 的(16029838),{'High': 13},"{'第2*級': 1, '第1*級': 2, '第2級': 2, '第3*級': 3, '第1級': 3, 'Unknown': 1, '第4級': 1}",0,Y,N,N,N
但媽媽說：別高興得太早，你今天數的星星，或許明天就看不見了！,但 媽媽 說 別 高興 得 太 早 你 今天 數 的 星星 或許 明天 就 看 不 見 了,20,但(597124) 媽媽(70492) 說(1285247) 別(78082) 高興(38552) 得(573721) 太(181732) 早(62038) 你(1414837) 今天(73277) 數(38654) 的(16029838) 星星(5246) 或許(60077) 明天(18918) 就(1737544) 看(444691) 不(2282521) 見(179113) 了(3199291),{'High': 20},"{'第2級': 2, '第1級': 10, '第1*級': 2, 'Unknown': 3, '第3*級': 2, '第4級': 1}",0,Y,Y,N,N
