sentence,sentence_preprocessed,sentence_length,word_freq,high_low_freq,word_level,long_word_count,is_complete_sentence,is_complete_context,is_blacklist,is_greylist
長生公司總經理郭政權等人昨日拜會交通部政務次長賀陳旦，要求政府協助取得台北至中正機場捷運計畫融資及辦理區段徵收，獲交通部正面回應。,長生 公司 總經理 郭政權 等 人 昨日 拜會 交通部 政務 次長 賀陳旦 要求 政府 協助 取得 台北 至 中正 機場 捷運 計畫 融資 及 辦理 區段 徵收 獲 交通部 正面 回應,31,長生(866) 公司(168500) 總經理(6256) 郭政權(1) 等(327380) 人(1550512) 昨日(2036) 拜會(626) 交通部(506) 政務(2792) 次長(520) 賀陳旦(2) 要求(71192) 政府(92663) 協助(28701) 取得(25649) 台北(22242) 至(101530) 中正(1643) 機場(7570) 捷運(1235) 計畫(54820) 融資(2070) 及(304586) 辦理(7225) 區段(273) 徵收(2599) 獲(11610) 交通部(506) 正面(16915) 回應(19332),"{'High': 29, 'Low': 2}","{'Unknown': 11, '第2級': 2, '第3*級': 2, '第1級': 1, '第5級': 8, '第7級': 1, '第6級': 2, '第4級': 1, '第4*級': 1, '第2*級': 1, '第3級': 1}",5,Y,Y,N,Y
在資金與用地取得及調度得以確保的情況下，長生公司可望繼續執行機場捷運建設計畫，最快民國九十五年，國人出入境就有捷運可搭。,在 資金 與 用地 取得 及 調度 得以 確保 的 情況 下 長生 公司 可望 繼續 執行 機場 捷運 建設 計畫 最 快 民國 九十五年 國人 出入境 就 有 捷運 可 搭,32,在(3284238) 資金(12844) 與(968432) 用地(917) 取得(25649) 及(304586) 調度(1899) 得以(20774) 確保(9107) 的(16029838) 情況(92301) 下(329549) 長生(866) 公司(168500) 可望(1149) 繼續(80649) 執行(25364) 機場(7570) 捷運(1235) 建設(11627) 計畫(54820) 最(421680) 快(116207) 民國(16130) 九十五年(37) 國人(4275) 出入境(100) 就(1737544) 有(2217079) 捷運(1235) 可(307359) 搭(16185),"{'High': 30, 'Low': 2}","{'第1*級': 4, '第5級': 6, '第4*級': 2, 'Unknown': 6, '第7級': 2, '第6級': 1, '第1級': 3, '第4級': 2, '第2級': 2, '第2*級': 1, '第3級': 3}",2,Y,Y,N,N
交通部中正機場捷運甄審委員會上月底決議，機場捷運建設成本納入區段徵收總成本的金額不得超過一半，長生公司所需籌集的自有資金比原規劃至少增加三百億元以上。,交通部 中正 機場 捷運 甄審 委員會 上 月底 決議 機場 捷運 建設 成本 納入 區段 徵收 總成本 的 金額 不得 超過 一半 長生 公司 所 需 籌集 的 自有 資金 比 原 規劃 至少 增加 三百億 元 以上,38,交通部(506) 中正(1643) 機場(7570) 捷運(1235) 甄審(11) 委員會(19419) 上(1233218) 月底(333) 決議(2452) 機場(7570) 捷運(1235) 建設(11627) 成本(20612) 納入(5488) 區段(273) 徵收(2599) 總成本(36) 的(16029838) 金額(5087) 不得(14941) 超過(30507) 一半(21409) 長生(866) 公司(168500) 所(527327) 需(27999) 籌集(495) 的(16029838) 自有(5482) 資金(12844) 比(170486) 原(33852) 規劃(14663) 至少(41964) 增加(48296) 三百億(113) 元(60807) 以上(36569),"{'High': 36, 'Low': 2}","{'Unknown': 13, '第2*級': 2, '第3級': 2, '第1級': 4, '第6級': 4, '第5級': 4, '第4級': 3, '第2級': 4, '第1*級': 1, '第3*級': 1}",4,Y,N,N,Y
長生公司總經理郭政權、副總經理孫麟及律師陳玲玉等三人昨日下午至交通部拜會，要求政府協助長生取得融資及辦理區段徵收，並表達執行機場捷運建設的強烈意願。,長生 公司 總經理 郭政權 副 總經理 孫麟 及 律師 陳玲玉 等 三 人 昨日 下午 至 交通部 拜會 要求 政府 協助 長生 取得 融資 及 辦理 區段 徵收 並 表達 執行 機場 捷運 建設 的 強烈 意願,37,長生(866) 公司(168500) 總經理(6256) 郭政權(1) 副(21458) 總經理(6256) 孫麟(Unknown) 及(304586) 律師(16602) 陳玲玉(2) 等(327380) 三(313861) 人(1550512) 昨日(2036) 下午(20045) 至(101530) 交通部(506) 拜會(626) 要求(71192) 政府(92663) 協助(28701) 長生(866) 取得(25649) 融資(2070) 及(304586) 辦理(7225) 區段(273) 徵收(2599) 並(442790) 表達(34582) 執行(25364) 機場(7570) 捷運(1235) 建設(11627) 的(16029838) 強烈(27883) 意願(6427),"{'High': 34, 'Low': 3}","{'Unknown': 10, '第2級': 1, '第5級': 11, '第4級': 2, '第3*級': 2, '第1級': 4, '第7級': 1, '第4*級': 3, '第6級': 1, '第2*級': 1, '第3級': 1}",5,Y,Y,N,Y
賀陳旦指出，政府當盡力協助BOT計畫的推動，以確保計畫可行，只要長生公司接受甄審委員會的決議，長生公司又是機場捷運BOT計畫的最優申請人，依法當可選擇最優的法源進行各項建設與開發。,賀陳旦 指出 政府 當 盡力 協助 BOT 計畫 的 推動 以 確保 計畫 可行 只要 長生 公司 接受 甄審 委員會 的 決議 長生 公司 又 是 機場 捷運 BOT 計畫 的 最優 申請人 依法 當 可 選擇 最優 的 法源 進行 各 項 建設 與 開發,46,賀陳旦(2) 指出(38456) 政府(92663) 當(294625) 盡力(6625) 協助(28701) BOT(Unknown) 計畫(54820) 的(16029838) 推動(14867) 以(547785) 確保(9107) 計畫(54820) 可行(4844) 只要(99140) 長生(866) 公司(168500) 接受(84729) 甄審(11) 委員會(19419) 的(16029838) 決議(2452) 長生(866) 公司(168500) 又(535555) 是(4642407) 機場(7570) 捷運(1235) BOT(Unknown) 計畫(54820) 的(16029838) 最優(98) 申請人(713) 依法(2242) 當(294625) 可(307359) 選擇(75178) 最優(98) 的(16029838) 法源(135) 進行(100298) 各(243023) 項(88887) 建設(11627) 與(968432) 開發(19196),"{'Low': 6, 'High': 40}","{'Unknown': 15, '第4級': 2, '第5級': 7, '第4*級': 4, '第2級': 6, '第1級': 5, '第6級': 2, '第3級': 2, '第1*級': 1, '第2*級': 1, '第3*級': 1}",5,Y,Y,N,Y
例如，機場捷運區段徵收即可援用促參法，由長生公司採用公辦民營方式辦理，方便業者資金調度或建設規劃。,例如 機場 捷運 區段 徵收 即可 援用 促參法 由 長生 公司 採用 公辦 民營 方式 辦理 方便 業者 資金 調度 或 建設 規劃,23,例如(72240) 機場(7570) 捷運(1235) 區段(273) 徵收(2599) 即可(7563) 援用(336) 促參法(8) 由(208604) 長生(866) 公司(168500) 採用(20582) 公辦(79) 民營(2175) 方式(133407) 辦理(7225) 方便(14172) 業者(6857) 資金(12844) 調度(1899) 或(478077) 建設(11627) 規劃(14663),"{'High': 21, 'Low': 2}","{'第3*級': 1, '第2*級': 1, '第3級': 2, 'Unknown': 6, '第6級': 3, '第4*級': 3, '第2級': 1, '第5級': 4, '第1*級': 1, '第7級': 1}",1,Y,Y,N,N
政府在法令的範圍內，將盡力協助業者辦理各項作業。,政府 在 法令 的 範圍 內 將 盡力 協助 業者 辦理 各 項 作業,14,政府(92663) 在(3284238) 法令(3996) 的(16029838) 範圍(24784) 內(183051) 將(448374) 盡力(6625) 協助(28701) 業者(6857) 辦理(7225) 各(243023) 項(88887) 作業(16954),{'High': 14},"{'第4級': 1, '第1*級': 1, '第6級': 1, '第1級': 1, '第4*級': 2, '第3級': 1, '第5級': 4, 'Unknown': 1, '第2級': 2}",0,Y,N,N,N
根據長生公司提出的財務計畫，長生公司將向銀行貸款七百二十億元，自有資金為兩百五十億元，融資佔長生財務計畫的七四%以上。,根據 長生 公司 提出 的 財務 計畫 長生 公司 將 向 銀行 貸款 七百二十億 元 自有 資金 為 兩百五十億 元 融資 佔 長生 財務 計畫 的 七四 以上,28,根據(51908) 長生(866) 公司(168500) 提出(63073) 的(16029838) 財務(9196) 計畫(54820) 長生(866) 公司(168500) 將(448374) 向(231672) 銀行(33825) 貸款(6235) 七百二十億(Unknown) 元(60807) 自有(5482) 資金(12844) 為(761341) 兩百五十億(24) 元(60807) 融資(2070) 佔(11252) 長生(866) 財務(9196) 計畫(54820) 的(16029838) 七四(64) 以上(36569),"{'High': 25, 'Low': 3}","{'第4*級': 1, 'Unknown': 10, '第2級': 6, '第1級': 4, '第5級': 6, '第3*級': 1}",2,Y,N,N,N
因此，融資計畫是否可行攸關機場捷運建設計畫的成敗。,因此 融資 計畫 是否 可行 攸關 機場 捷運 建設 計畫 的 成敗,12,因此(184606) 融資(2070) 計畫(54820) 是否(78907) 可行(4844) 攸關(1870) 機場(7570) 捷運(1235) 建設(11627) 計畫(54820) 的(16029838) 成敗(2828),{'High': 12},"{'第4*級': 1, 'Unknown': 2, '第2級': 2, '第5級': 2, '第6級': 1, '第7級': 1, '第2*級': 1, '第3級': 1, '第1級': 1}",0,Y,Y,N,N
而房地產不景氣，提高區段徵收成功風險直接衝擊長生公司資金調度與捷運建設成功機率。,而 房地產 不 景氣 提高 區段 徵收 成功 風險 直接 衝擊 長生 公司 資金 調度 與 捷運 建設 成功 機率,20,而(937923) 房地產(3696) 不(2282521) 景氣(1794) 提高(19797) 區段(273) 徵收(2599) 成功(80266) 風險(19287) 直接(54798) 衝擊(8508) 長生(866) 公司(168500) 資金(12844) 調度(1899) 與(968432) 捷運(1235) 建設(11627) 成功(80266) 機率(8893),{'High': 20},"{'第5級': 6, '第6級': 3, '第1級': 1, '第4*級': 2, 'Unknown': 2, '第3*級': 2, '第3級': 2, '第2級': 1, '第7級': 1}",1,Y,Y,N,N
