sentence,sentence_preprocessed,sentence_length,word_freq,high_low_freq,word_level,long_word_count,is_complete_sentence,is_complete_context,is_blacklist,is_greylist
彰化市鄭小姐兄妺三人合營一家冰果店，夏天生意不錯，冬天改賣自助餐則很差，她寫下協。,彰化市 鄭 小姐 兄妺 三 人 合營 一 家 冰果店 夏天 生意 不錯 冬天 改 賣 自助餐 則 很 差 她 寫下 協,23,彰化市(247) 鄭(4241) 小姐(49626) 兄妺(3) 三(313861) 人(1550512) 合營(100) 一(3701681) 家(236822) 冰果店(40) 夏天(11228) 生意(13520) 不錯(23297) 冬天(8241) 改(12785) 賣(27821) 自助餐(290) 則(254096) 很(715675) 差(23865) 她(1052913) 寫下(9383) 協(317),"{'High': 20, 'Low': 3}","{'Unknown': 9, '第1級': 7, '第2級': 3, '第3級': 1, '第1*級': 1, '第3*級': 1, '第5級': 1}",3,Y,N,N,Y
主兩字，求測兄妺能否合作愉快？,主 兩 字 求 測 兄妺 能否 合作 愉快,9,主(7737) 兩(526190) 字(75654) 求(30359) 測(4342) 兄妺(3) 能否(7723) 合作(35908) 愉快(16600),"{'High': 8, 'Low': 1}","{'Unknown': 4, '第1級': 2, '第4*級': 2, '第3*級': 1}",0,Y,N,N,N
或者改賣其他貨品會比較好？,或者 改賣 其他 貨品 會 比較 好,7,或者(63631) 改賣(22) 其他(189445) 貨品(1235) 會(1014977) 比較(112212) 好(448428),"{'High': 6, 'Low': 1}","{'第3級': 1, 'Unknown': 3, '第2級': 2, '第1*級': 1}",0,Y,Y,N,N
山人推測鄭小姐是因三人共營，才刻意選來兩個與三有關的字來求測的。,山人 推測 鄭 小姐 是 因 三 人 共 營 才 刻意 選 來 兩 個 與 三 有關 的 字 來 求 測 的,25,山人(222) 推測(4991) 鄭(4241) 小姐(49626) 是(4642407) 因(119364) 三(313861) 人(1550512) 共(32138) 營(3273) 才(394539) 刻意(11267) 選(17378) 來(742183) 兩(526190) 個(2296574) 與(968432) 三(313861) 有關(69607) 的(16029838) 字(75654) 來(742183) 求(30359) 測(4342) 的(16029838),{'High': 25},"{'Unknown': 4, '第5級': 1, '第1級': 12, '第1*級': 1, '第6級': 2, '第2級': 1, '第3級': 1, '第4*級': 2, '第4級': 1}",0,Y,Y,N,Y
但問題出在協字的三個力字各自為政，沒有交著之點，而偏旁的十字若能將第二個主字的起筆那一點借來，便成了豎心旁，變成三人合力同心。,但 問題 出 在 協 字 的 三 個 力 字 各自為政 沒有 交著 之 點 而 偏旁 的 十字 若 能 將 第二 個 主 字 的 起筆 那 一 點 借來 便 成 了 豎心旁 變成 三 人 合力 同心,42,但(597124) 問題(280782) 出(84457) 在(3284238) 協(317) 字(75654) 的(16029838) 三(313861) 個(2296574) 力(13779) 字(75654) 各自為政(268) 沒有(594280) 交著(Unknown) 之(875481) 點(118735) 而(937923) 偏旁(88) 的(16029838) 十字(1443) 若(92766) 能(582260) 將(448374) 第二(98741) 個(2296574) 主(7737) 字(75654) 的(16029838) 起筆(68) 那(754138) 一(3701681) 點(118735) 借來(1167) 便(220860) 成(76470) 了(3199291) 豎心旁(Unknown) 變成(73009) 三(313861) 人(1550512) 合力(1842) 同心(1037),"{'High': 38, 'Low': 4}","{'第2級': 1, '第1級': 17, '第1*級': 3, 'Unknown': 13, '第5級': 3, '第6級': 2, '第4*級': 1, '第4級': 1, '第7級': 1}",2,Y,Y,N,N
其次，主字那一點移往協字偏旁，便成王字，王與旺同音，再加個日字旁，便是真正的旺字。,其次 主 字 那 一 點 移 往 協 字 偏旁 便 成 王 字 王 與 旺 同 音 再 加 個 日字旁 便是 真正 的 旺 字,29,其次(8985) 主(7737) 字(75654) 那(754138) 一(3701681) 點(118735) 移(5081) 往(95775) 協(317) 字(75654) 偏旁(88) 便(220860) 成(76470) 王(28517) 字(75654) 王(28517) 與(968432) 旺(2326) 同(102917) 音(14215) 再(326207) 加(28242) 個(2296574) 日字旁(Unknown) 便是(6111) 真正(77318) 的(16029838) 旺(2326) 字(75654),"{'High': 27, 'Low': 2}","{'第5級': 1, 'Unknown': 8, '第1級': 9, '第2級': 2, '第6級': 3, '第4*級': 4, '第1*級': 1, '第4級': 1}",1,Y,Y,N,N
總括來說，鄭家三兄妺目前並未做到同心合力，若能針對此點開誠布公予以改正，假以時日，自能事業興旺，至於改行與否，並不重要。,總括來說 鄭家 三 兄妺 目前 並 未 做到 同心 合力 若 能 針對 此 點 開誠布公 予以 改正 假以時日 自 能 事業 興旺 至於 改行 與否 並 不 重要,29,總括來說(31) 鄭家(518) 三(313861) 兄妺(3) 目前(48695) 並(442790) 未(101927) 做到(19894) 同心(1037) 合力(1842) 若(92766) 能(582260) 針對(23174) 此(288458) 點(118735) 開誠布公(181) 予以(7233) 改正(2228) 假以時日(377) 自(59676) 能(582260) 事業(32957) 興旺(1054) 至於(39363) 改行(584) 與否(4610) 並(442790) 不(2282521) 重要(154863),"{'Low': 2, 'High': 27}","{'Unknown': 7, '第1級': 3, '第4級': 1, '第4*級': 3, '第5級': 4, '第3*級': 1, '第7級': 2, '第6級': 5, '第1*級': 2, '第2級': 1}",3,Y,Y,N,N
高職畢業的劉小姐，與就讀研究所的男友交往二年，為了縮短彼此差距，特辭掉待遇不錯的工作，進補習班準備再考二專，她選了一個平時最喜歡的柔字，求測這段感情能否進一步論及嫁娶。,高職 畢業 的 劉 小姐 與 就讀 研究所 的 男友 交往 二 年 為 了 縮短 彼此 差距 特 辭掉 待遇 不錯 的 工作 進 補習班 準備 再 考 二專 她 選 了 一 個 平時 最 喜歡 的 柔 字 求 測 這 段 感情 能否 進一步 論及 嫁娶,50,高職(345) 畢業(19764) 的(16029838) 劉(10615) 小姐(49626) 與(968432) 就讀(4791) 研究所(12287) 的(16029838) 男友(3501) 交往(10508) 二(152494) 年(514736) 為(761341) 了(3199291) 縮短(2698) 彼此(39449) 差距(5164) 特(11475) 辭掉(720) 待遇(5311) 不錯(23297) 的(16029838) 工作(220164) 進(40005) 補習班(1271) 準備(64901) 再(326207) 考(10056) 二專(32) 她(1052913) 選(17378) 了(3199291) 一(3701681) 個(2296574) 平時(9449) 最(421680) 喜歡(113753) 的(16029838) 柔(3601) 字(75654) 求(30359) 測(4342) 這(2114032) 段(95980) 感情(27553) 能否(7723) 進一步(25130) 論及(1844) 嫁娶(342),"{'High': 49, 'Low': 1}","{'Unknown': 14, '第3級': 2, '第1級': 14, '第4*級': 3, '第5級': 5, '第4級': 5, '第6級': 1, '第1*級': 4, '第2級': 1, '第2*級': 1}",3,Y,N,N,Y
柔字上方是個矛字，矛是兵器，尖銳能傷人，下方是個木字，劉小姐的寫法把此二字連在一起，正好是用鐵矛刺在木盾之上，必會造成直接傷害，男上女下，劉小姐應考慮的是自己是否有承受刺傷的可能性？,柔 字 上方 是 個 矛 字 矛 是 兵器 尖銳 能 傷人 下方 是 個 木 字 劉 小姐 的 寫法 把 此 二 字 連 在一起 正好 是 用 鐵矛 刺 在 木盾 之上 必 會 造成 直接 傷害 男 上 女 下 劉 小姐 應 考慮 的 是 自己 是否 有 承受 刺傷 的 可能性,58,柔(3601) 字(75654) 上方(8379) 是(4642407) 個(2296574) 矛(1808) 字(75654) 矛(1808) 是(4642407) 兵器(1764) 尖銳(4505) 能(582260) 傷人(1663) 下方(6619) 是(4642407) 個(2296574) 木(9084) 字(75654) 劉(10615) 小姐(49626) 的(16029838) 寫法(1193) 把(617773) 此(288458) 二(152494) 字(75654) 連(91153) 在一起(45658) 正好(17036) 是(4642407) 用(377038) 鐵矛(27) 刺(9502) 在(3284238) 木盾(5) 之上(9083) 必(37598) 會(1014977) 造成(63141) 直接(54798) 傷害(22978) 男(23928) 上(1233218) 女(51944) 下(329549) 劉(10615) 小姐(49626) 應(82417) 考慮(28774) 的(16029838) 是(4642407) 自己(744739) 是否(78907) 有(2217079) 承受(9524) 刺傷(812) 的(16029838) 可能性(15158),"{'High': 56, 'Low': 2}","{'Unknown': 17, '第1級': 20, '第7級': 1, '第6級': 2, '第1*級': 7, '第4*級': 3, '第2級': 1, '第5級': 3, '第3*級': 2, '第3級': 1, '第4級': 1}",2,Y,N,N,Y
從表面上看來劉小姐放棄現有職業，再求深造，似乎都是為了男友，從長遠看，無論能否締結鴛盟，提高學歷受惠的還是自己，一剛一柔，若能相濟，自可相互為濟，若不能相容，生活恐無寧日，這得要自己拿主意。,從 表面 上 看來 劉 小姐 放棄 現有 職業 再 求 深造 似乎 都 是 為 了 男友 從 長遠 看 無論 能否 締結 鴛盟 提高 學歷 受惠 的 還 是 自己 一 剛 一 柔 若 能 相 濟 自 可 相互 為濟 若 不能 相容 生活 恐 無 寧日 這 得 要 自己 拿主意,56,從(496546) 表面(20092) 上(1233218) 看來(23504) 劉(10615) 小姐(49626) 放棄(27664) 現有(5925) 職業(14439) 再(326207) 求(30359) 深造(821) 似乎(85481) 都(1125846) 是(4642407) 為(761341) 了(3199291) 男友(3501) 從(496546) 長遠(2941) 看(444691) 無論(37021) 能否(7723) 締結(1093) 鴛盟(15) 提高(19797) 學歷(2414) 受惠(1051) 的(16029838) 還(625086) 是(4642407) 自己(744739) 一(3701681) 剛(55049) 一(3701681) 柔(3601) 若(92766) 能(582260) 相(32217) 濟(1858) 自(59676) 可(307359) 相互(21268) 為濟(4) 若(92766) 不能(162852) 相容(1559) 生活(213189) 恐(6031) 無(157858) 寧日(103) 這(2114032) 得(573721) 要(851264) 自己(744739) 拿主意(Unknown),"{'High': 53, 'Low': 3}","{'第1*級': 6, '第4*級': 5, '第1級': 10, 'Unknown': 20, '第4級': 3, '第7級': 3, '第5級': 6, '第2級': 1, '第6級': 1, '第3級': 1}",1,Y,Y,N,Y
